run_id,significant_hit_count,latitude,longitude,geo_location_name,environment_biome
ERR071289,2,71.0386,-123.9109,Arctic Ocean,Ocean biome ENVO:01000048
ERR1035442,157,-26.3177,152.9959,Australia,Estuarine
ERR1035442,132,-26.3177,152.9959,Australia,Estuarine
ERR1035442,60,-26.3177,152.9959,Australia,Estuarine
ERR1035442,122,-26.3177,152.9959,Australia,Estuarine
ERR1035442,119,-26.3177,152.9959,Australia,Estuarine
ERR1035442,132,-26.3177,152.9959,Australia,Estuarine
ERR1035442,92,-26.3177,152.9959,Australia,Estuarine
ERR1035442,139,-26.3177,152.9959,Australia,Estuarine
ERR1035442,136,-26.3177,152.9959,Australia,Estuarine
ERR1035442,106,-26.3177,152.9959,Australia,Estuarine
ERR1055648,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055649,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055650,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055651,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055652,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055653,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055654,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055655,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055656,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055658,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055659,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055661,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055662,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055663,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055664,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055665,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055666,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055667,0,71.0,6.0,Norway,Hydrothermal vent
ERR1055668,0,71.0,6.0,Norway,Hydrothermal vent
ERR1056312,0,-9.82,-150.82,,
ERR1056313,0,-9.82,-150.82,,
ERR1056314,0,-9.82,-150.82,,
ERR1056315,0,-9.82,-150.82,,
ERR1056316,0,-9.82,-150.82,,
ERR1056317,0,-9.82,-150.82,,
ERR1056318,0,-9.82,-150.82,,
ERR1056319,0,-9.82,-150.82,,
ERR1056320,0,-9.82,-150.82,,
ERR1056321,0,-9.82,-150.82,,
ERR1056323,0,-9.82,-150.82,,
ERR1056324,0,-9.82,-150.82,,
ERR1056325,0,-9.82,-150.82,,
ERR1056326,0,-9.82,-150.82,,
ERR1056327,0,-9.82,-150.82,,
ERR1056328,0,-9.82,-150.82,,
ERR1056329,1,-9.82,-150.82,,
ERR1056330,0,-9.82,-150.82,,
ERR1056331,0,-9.82,-150.82,,
ERR1056332,0,-9.82,-150.82,,
ERR1056333,0,-9.82,-150.82,,
ERR1056334,0,-9.82,-150.82,,
ERR1056335,0,-9.82,-150.82,,
ERR1056336,0,-9.82,-150.82,,
ERR1056337,0,-9.82,-150.82,,
ERR1111514,0,38.8022,-75.203,USA,estuarine biome
ERR1111514,0,38.8022,-75.203,USA,estuarine biome
ERR1111514,1,38.8022,-75.203,USA,estuarine biome
ERR1111514,0,38.8022,-75.203,USA,estuarine biome
ERR1111514,0,38.8022,-75.203,USA,estuarine biome
ERR1111514,2,38.8022,-75.203,USA,estuarine biome
ERR1111514,0,38.8022,-75.203,USA,estuarine biome
ERR1111514,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111515,0,38.8022,-75.203,USA,estuarine biome
ERR1111517,0,38.8022,-75.203,USA,estuarine biome
ERR1121452,0,79.0136,12.4746,Svalbard,snow
ERR1121453,0,79.0136,12.4746,Svalbard,snow
ERR1121456,0,79.0136,12.4746,Svalbard,snow
ERR1121457,0,79.0136,12.4746,Svalbard,snow
ERR1121555,0,79.0136,12.4746,Svalbard,snow
ERR1121556,0,79.0136,12.4746,Svalbard,snow
ERR1163068,9,45.9332,-129.9988,Pacific Ocean,water
ERR1163069,6,45.9332,-129.9988,Pacific Ocean,water
ERR1163070,4,45.9332,-129.9988,Pacific Ocean,water
ERR1163071,7,45.9332,-129.9988,Pacific Ocean,water
ERR1163072,23,45.9332,-129.9988,Pacific Ocean,water
ERR1163073,19,45.9332,-129.9988,Pacific Ocean,water
ERR1163074,13,45.9332,-129.9988,Pacific Ocean,water
ERR1163075,18,45.9332,-129.9988,Pacific Ocean,water
ERR1163076,3,45.9332,-129.9988,Pacific Ocean,water
ERR1163082,1,45.9228,-129.9882,Pacific Ocean,water
ERR1163083,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163084,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163085,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163086,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163087,2,45.9228,-129.9882,Pacific Ocean,water
ERR1163088,1,45.9228,-129.9882,Pacific Ocean,water
ERR1163089,2,45.9228,-129.9882,Pacific Ocean,water
ERR1163090,2,45.9228,-129.9882,Pacific Ocean,water
ERR1163091,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163092,1,45.9228,-129.9882,Pacific Ocean,water
ERR1163093,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163094,0,45.9228,-129.9882,Pacific Ocean,water
ERR1163105,2,45.9332,-130.0138,Pacific Ocean,water
ERR1163106,2,45.9332,-130.0138,Pacific Ocean,water
ERR1163107,4,45.9332,-130.0138,Pacific Ocean,water
ERR1163108,0,45.9332,-130.0138,Pacific Ocean,water
ERR1163109,0,45.9332,-130.0138,Pacific Ocean,water
ERR1163110,5,45.9332,-130.0138,Pacific Ocean,water
ERR1163111,3,45.9332,-130.0138,Pacific Ocean,water
ERR1163112,2,45.9332,-130.0138,Pacific Ocean,water
ERR1163113,4,45.9332,-130.0138,Pacific Ocean,water
ERR1163114,0,45.9332,-130.0138,Pacific Ocean,water
ERR1163115,4,45.9332,-130.0138,Pacific Ocean,water
ERR1163116,4,45.9332,-130.0138,Pacific Ocean,water
ERR1163117,3,45.9332,-130.0138,Pacific Ocean,water
ERR1163125,7,45.9332,-129.9823,Pacific Ocean,water
ERR1163126,6,45.9332,-129.9823,Pacific Ocean,water
ERR1163127,2,45.9332,-129.9823,Pacific Ocean,water
ERR1163128,1,45.9332,-129.9823,Pacific Ocean,water
ERR1163129,1,45.9332,-129.9823,Pacific Ocean,water
ERR1163130,3,45.9332,-129.9823,Pacific Ocean,water
ERR1163131,6,45.9332,-129.9823,Pacific Ocean,water
ERR1163132,2,45.9332,-129.9823,Pacific Ocean,water
ERR1163133,7,45.9332,-129.9823,Pacific Ocean,water
ERR1163134,6,45.9332,-129.9823,Pacific Ocean,water
ERR1163135,4,45.9332,-129.9823,Pacific Ocean,water
ERR1189628,0,-23.4422,151.9134,Australia,coral reef
ERR1191817,10,52.174343,0.139346,,
ERR1191817,9,52.174343,0.139346,,
ERR1191817,6,52.174343,0.139346,,
ERR1191818,1,52.174343,0.139346,,
ERR1191818,1,52.174343,0.139346,,
ERR1191819,0,52.174343,0.139346,,
