latitude,longitude,significant_hit_count,geo_location_name,environment_biome
-70,-100.241,0,,
-69.687,-102.018,0,,
-69.607,-102.988,0,,
-69.001,-103.001,0,,
-68.501,-103.027,0,,
-68,-103,0,,
-66.997,-102.998,1,,
-66.762,144.334,0,,
-65.537,140.723,0,,
-65.004,-102.999,0,,
-64.77,-64.05,14,Antarctica,
-64.501,-103,0,,
-63,-103,0,,
-62.223,-49.214,2,,marine biome (ENVO:00000447)
-62.038,-49.529,0,,marine biome (ENVO:00000447)
-62,-102.99,0,,
-61.969,-49.502,1465,,marine biome (ENVO:00000447)
-61,-103,0,,
-60.229,-60.648,2,,marine biome (ENVO:00000447)
-58,-65,0,Antarctica,Ocean
-56.695,141.869,0,,
-55.986,-103,0,,
-55.002,-102.999,0,,
-54.016,-103,0,,
-51.5,-103,0,,
-50.5,-103,0,,
-49.548,-52.688,2,,ocean_biome
-49,-102.998,0,,
-48.936,-48.793,2,,ocean_biome
-48.249,145.805,0,,
-48.198,-52.692,2,,
-47.999,-103,0,,
-47.565,-51.774,0,,
-47.201,-57.945,0,,marine biome (ENVO:00000447)
-47.186,-58.29,0,,marine biome (ENVO:00000447)
-47,-103,0,,
-46.907,-47.179,54,,ocean_biome
-46.018,-49.872,2,,
-46,-103.001,0,,
-45.744,170.771,2,,ENVO:00000447 for marine biome
-45.297,-48.896,0,,
-44.712,-45.526,18,,ocean_biome
-44.5,-103,0,,
-43.057,147.298,0,,
-43,-103,0,,
-42.597,148.233,381,Australia:Maria Island,
-42.59,148.23,0,Australia,aquatic
-42.364,-44.032,16,,ocean_biome
-42.304,148.505,0,Australia:Tasman Sea,
-42.292,148.817,0,Australia:Tasman Sea,
-42.288,156.479,1,Australia:Tasman Sea,
-42.284,148.708,0,Australia:Tasman Sea,
-42.282,148.6,3,Australia:Tasman Sea,
-42,-103,0,,
-40.999,-102.998,0,,
-40.063,5.527,5,,ocean_biome
-40.019,0.888,0,,ocean_biome
-40,-103.001,0,,
-39.965,-42.423,22,,ocean_biome
-39.256,7.725,0,,ocean_biome
-39.21,-41.475,3,,
-38.803,2.244,0,,
