mf,ppm,unsat
C6H4F2KN6S,-0.0063,6.5
C4H13O7S3,0.04,-1.5
C4H7FKN2O8,0.0747,1.5
C3H6F6KN3S,0.1459,-1.0
C7H10F2K2N2P,0.18510000000000001,2.5
H3F5KN6O3,0.2075,-0.5
C4H13KN3O2PS2,0.2119,0.0
C2H13N3O4P2S2,-0.2187,-1.0
C5H10F2KN2O2P2,-0.24550000000000002,1.5
C5H16FOP2S3,-0.2802,-1.5
CH6F6N3O2PS,-0.2846,-2.0
C9H5FN3O2PS,0.3059,9.0
C2H7FN2O10P,-0.3558,0.5
C6H2N6O5P,0.3674,9.5
C5F11,0.3922,0.5
C4H4F2N6O2PS,-0.4369,5.5
C6H7F5O2PS,0.4581,1.5
H13N6OP4S,-0.4774,-0.5
C3H4F4N3O5P,0.5196999999999999,2.0
C2H9F3K2N5P,-0.5577,-1.0
C7HF4N2O5,-0.6356,6.5
C6H13K2N3S2,0.6424,1.0
C3H10F2N2O4P3,-0.6759999999999999,0.5
C11H5FKN3S,0.7363999999999999,10.0
C8H2KN6O3,0.7979,10.5
C13H2FN2O2S,-0.8492999999999999,13.5
C8H7F5KS,0.8886999999999999,2.5
C5H10F3NO2S3,0.9155,0.0
C8H10KN2O2S2,-0.9434,4.5
C5H4F4KN3O3,0.9502,3.0
C11H7F2K2N,-0.9701000000000001,7.0
C2H7F2N4O5S2,0.9769999999999999,0.5
H9F3KN5O2P2,-0.9882,-2.0
C3H12K3N4O3,-1.0026,-1.5
C14H6O2PS,1.0486,12.5
C6H15FK3NS,-1.0641999999999998,-2.0
C4H14FO4P4,1.2219,-0.5
C8H5F3O5P,1.2624,5.5
C3H13F2K2N3P2,1.3402999999999998,-2.0
C6H10N2O4PS2,-1.3739000000000001,3.5
C2F5N5O5,-1.3783,3.0
C4HF7N4P,1.3952,3.5
C9H7F2KNO2P,-1.4007,6.0
C5H3F6N2O2S,-1.4398,2.5
C5H16KNOP4,-1.4412,0.0
C5H8FN4O2P2S,1.4611,4.5
C16H6KS,1.4791999999999998,13.5
C6H4FNO10,-1.5110000000000001,5.0
C3H11O10P2,1.5422,-0.5
C8HF2N5O2S,-1.5921,10.0
C4H10N5OP3S,-1.6326,4.0
C6H14FKO2P3,1.6525,0.5
C2H10FK2N3O6,1.6605,-2.0
C3H9FKN5O2S2,-1.6861000000000002,1.0
C10H5F3KO3,1.6929999999999998,6.5
C6H6F3K2N4,-1.7128999999999999,3.5
C7H8FNO5S2,1.7198,4.0
C3H15N3OS5,-1.7207999999999999,-2.0
C4H5N4O8S,1.7813,4.5
C7H7F2NO4P2,-1.8313,5.0
C3H4F5N5S2,1.8525,2.0
C3H16NO3P5,-1.8717,-1.0
C7H8FKN4PS,1.8916,5.5
C5H11KO8P,1.9727000000000001,0.5
C12F2N4P,1.9856,14.5
C4H10F5KNPS,2.0439,-2.0
C8H14FK2P2,2.0829999999999997,1.5
CH7F4KN4O3P,2.1054000000000004,-1.5
CH9FN5O4PS2,-2.1167,0.0
C9H2F6NP,2.1378999999999997,7.0
C4H6F3KN4O2P,-2.1435,2.5
C4H12F2N2OPS3,-2.1782000000000004,-0.5
H2F7N5O2S,-2.1826,-1.0
C10H9NO2P2S,2.2039000000000004,8.0
CH3F2N4O10,-2.2538,1.5
C4H6F3NO7S,-2.3153,1.0
C7H11K2O6,2.4032999999999998,1.5
C4H8F3NO5P2,2.4175999999999997,1.0
C11H3N5S2,2.443,13.0
C10H7NO4S2,-2.5291,8.0
C3H7F4K2N4O,2.536,-0.5
H4F7N5P2,2.5504000000000002,-1.0
C13H4F2KO2,-2.5559,10.5
C2H6F3N4O4P2,-2.574,1.5
C5H9K2N3O5,-2.5884,2.0
C8H5F4N2S2,2.5953,5.5
C9H13KOP3,-2.5964,4.5
CH11FN5O2P3S,2.6163,0.0
C12H9KNPS,2.6344000000000003,9.0
C5H9F4NOP2S,-2.6355,1.0
C8H12FK2O2S,-2.6498999999999997,1.5
C5H2F3N5O3S,2.6568,6.0
C17HFNP,2.7284,18.0
C8H7N4OP2S,-2.7878,8.5
C2H4F7N2O3S,2.8091,-1.5
C6H8F3KNO3P,2.8482000000000003,2.0
C3H11FN2O5PS2,2.875,-0.5
H8N5O8PS,2.9365,0.0
C11H4F2O4P,-2.9865,9.5
C3H9KN3O7P,-3.0189999999999997,1.0
C7H13O3P4,-3.027,3.5
C3H11FKN5P2S,3.0469,1.0
