mf,ppm,unsat
C13H9F11NO5S,-0.0021999999999999997,4.5
C17H13F7KO5P,0.0188,8.0
C10H6F10N4O8,0.0309,5.0
C14H16F5NO7PS2,0.0332,5.5
C28H6F5O2P,-0.045599999999999995,24.0
C17H14FN4O7PS2,-0.0487,13.0
C18H20FKO7P2S,0.0543,9.0
C20H11F3KN3O5P,-0.0631,15.5
C11H13F4N4O10PS,0.0663,6.0
C20H17F2NO4PS3,-0.0818,12.5
C16H7F7N4O5S,-0.08410000000000001,12.0
C15H17KN3O10P2,0.0874,9.5
C13H9F11KN4P,0.0902,6.0
C23H14F4KO2PS,-0.09620000000000001,15.0
C12H22KN4O7PS3,-0.0992,4.0
C33H4FKN3,0.1041,32.5
C23H12F2O7P2,0.10490000000000001,18.0
C14H22F4N2OP2S4,0.10700000000000001,4.0
C19H10F8NO2S2,-0.1172,11.5
C14H16F5KN4O2P2S,0.1257,7.0
C31H4FN3O2P,-0.1275,31.5
C22H7F10K,-0.1316,14.0
C15H25FKNO4PS4,-0.13229999999999997,3.5
C11H15F6KN4O5S2,-0.13470000000000001,3.0
C11H9F11N4O2P2,-0.1414,5.0
C8H15F8NO10PS,0.1483,-1.5
C22H17F2KNO2S3,0.1499,13.5
C20H11F3O10S,-0.1555,14.0
C14H18F7KNO2S3,-0.1678,2.5
C12H19F4KO10P2,0.16929999999999998,2.0
C10H11F15KNP,0.1722,-1.5
C19H8F6N4O2P2,0.1763,16.0
C26H12KN3O2PS,-0.1781,22.5
C19H14FKN4O5S2,0.18300000000000002,14.0
C30H6F5K,0.186,25.0
C22H8F4N4O2S2,-0.1991,19.0
C27H9F3NO2S2,0.2004,22.5
C15H19F2KO10S2,-0.2061,5.0
C11H18F9KNO2P2S,0.2076,-0.5
C15H13F7O7P2,-0.2128,7.0
C25H5F6KN3,-0.2136,21.5
C7H18F5KN3O10P2,-0.2303,-1.5
C24H6F2N4O5S,0.23349999999999999,23.0
C8H15F8KN4O5P2,0.24069999999999997,0.0
C17H16F3KN4O2S3,-0.2497,10.0
C16H10F10NO2P2,0.25820000000000004,8.5
C10H21F6KO7P2S,-0.26339999999999997,-2.0
C16H16F5KNO5S2,0.26489999999999997,6.5
C26H12O7S2,-0.2705,21.0
C36H5O2P,0.2721,35.0
C13H19F3N2O7S4,0.2793,4.0
C18H11F3N3O7P2,-0.2947,14.5
C13H13F4KN4O8S,0.298,7.0
C21H8F6NO5S,0.31539999999999996,15.5
C21H14F4O4P2S,-0.32780000000000004,14.0
C10H22N4O9P2S3,-0.33089999999999997,3.0
C25H12F2KO5P,0.33649999999999997,19.0
C13H19F2KN3O7P2S,-0.3453,5.5
C18H5F5N4O8,0.3485,16.0
C22H15NO7PS2,0.3509,16.5
C20H7F10O2P,-0.36329999999999996,13.0
C13H25FNO6P2S4,-0.364,2.5
C9H15F6N4O7PS2,-0.3663,2.0
C16H22F3KO4P2S2,-0.3784,5.0
C10H15F8KNO8S,0.3799,-0.5
C12H12F8KN3O5P,-0.38070000000000004,4.5
C12H18F7NO4PS3,-0.3994,1.5
C8H8F12N4O5S,-0.4018,1.0
