Mass,Intensity
75.006615,45.974045
75.007694,16052.81179
75.029955,59.721997
75.04159,56.375572
75.065948,55.051331
75.066719,58.60569
75.089624,56.176988
75.110301,59.975595
75.130756,44.425395
75.131064,45.655484
75.16095,46.58248
75.163963,49.365108
75.177639,53.848178
75.179802,45.381093
75.199589,52.377352
75.210955,56.510423
75.214976,46.566555
75.229903,53.061893
75.254275,57.146182
75.256365,51.116068
75.260003,62.512136
75.264182,67.489974
75.283925,50.569484
75.291824,45.975605
75.299338,55.907284
75.303676,52.374231
75.330564,54.713918
75.379574,46.943405
75.383609,53.893484
75.393153,53.808603
75.400449,51.11055
75.401535,49.552136
75.404951,63.906604
75.406581,54.684505
75.421022,52.044015
75.42537,53.80802
75.440593,44.700371
75.455898,50.595508
75.48248,53.105484
75.494687,64.710453
75.504408,56.326016
75.51242,50.556815
75.532027,55.28893
75.536696,62.95716
75.57251,51.978238
75.609362,64.955334
75.620197,58.682504
75.643668,55.71707
75.654198,57.567354
75.679011,58.643739
75.691422,63.731376
75.696653,45.395676
75.700088,51.551258
75.711177,49.936507
75.738128,61.183368
75.744457,58.981889
75.753055,53.509699
75.754227,55.033529
75.775179,46.063818
75.783625,52.496033
75.812649,47.256324
75.835975,55.639477
75.848268,57.387419
75.856648,59.541941
75.946799,50.084316
75.954175,48.387196
75.964613,48.124593
75.973327,58.25107
75.978273,53.987509
75.998297,46.478045
76.002931,52.435252
76.046466,51.169256
76.051577,52.930092
76.106644,51.774971
76.157753,53.538812
76.164214,53.913048
76.182735,55.886817
76.184706,48.227614
76.248836,48.319278
76.397919,52.460978
76.398869,55.274708
76.468739,62.64595
76.472386,50.002067
76.507836,54.026739
76.550535,47.738718
76.589217,45.270596
76.615207,48.833583
76.644552,60.393745
76.68856,56.308338
76.730773,57.052968
76.731171,58.753579
76.742009,53.96464
76.766004,56.107721
76.782193,63.525958
76.828555,47.668633
76.843166,51.684379
76.851472,44.539103
76.881751,50.923607
76.887505,64.408271
76.919645,55.627128
76.933563,53.562489
76.986948,10643.544766
77.025802,59.188215
77.081048,56.156775
77.152741,46.18902
77.157561,51.950415
77.161097,55.587335
77.161659,53.797636
77.190514,48.047441
77.195257,52.451149
77.219465,49.767535
77.224372,56.530886
77.251894,53.466546
77.257126,81.065682
77.283779,72.290221
