Mass,Intensity
75.007702,18841.97704
75.020642,44.338541
75.021643,48.143246
75.037823,44.480477
75.039903,43.434287
75.045452,44.081135
75.050539,43.01425
75.078217,41.951636
75.121115,49.208828
75.141033,42.455761
75.19295,44.674544
75.198283,46.496779
75.200293,44.951148
75.220011,39.34546
75.225657,48.468792
75.239349,40.803175
75.263572,40.980378
75.266668,52.459804
75.267132,44.777509
75.306473,51.592583
75.307403,51.365338
75.321117,44.13752
75.433999,41.806515
75.437184,47.34728
75.437727,46.607951
75.455518,43.554189
75.468496,44.349294
75.486453,45.278625
75.487775,48.191371
75.520442,45.379304
75.530246,48.654403
75.546979,54.174388
75.556321,39.939437
75.560059,47.150498
75.582644,43.43903
75.586773,46.69304
75.607344,41.206359
75.660057,47.969861
75.664114,53.572408
75.699706,49.359048
75.707827,50.144842
75.783868,53.84595
75.825337,48.43398
75.831677,41.8649
75.844596,40.703171
75.864176,45.615527
75.864881,43.440042
75.876946,43.546675
75.961561,45.475536
75.973414,48.060878
75.986054,43.530912
76.001133,56.776089
76.011031,104.399699
76.016531,43.118172
76.03209,48.495324
76.032561,42.847767
76.034133,46.513505
76.051349,48.233372
76.053629,46.534933
76.077538,49.428994
76.123421,48.166383
76.150198,48.669873
76.185266,44.175243
76.190548,46.152716
76.290933,44.003657
76.294804,44.541521
76.343809,50.198691
76.367221,42.577943
76.416375,43.234955
76.488887,53.46604
76.49777,47.29709
76.504116,44.528809
76.531015,47.566852
76.564123,47.52762
76.596298,45.718689
76.639231,42.732107
76.671534,45.115402
76.679811,48.433293
76.693743,44.357654
76.704812,45.769194
76.743293,55.7536
76.755967,47.221854
76.759793,43.190285
76.803821,46.074879
76.815951,41.999508
76.837905,43.894596
76.843973,38.781112
76.845571,41.403655
76.866178,44.917093
76.890391,45.893127
76.892549,42.104396
76.895587,47.262891
76.900303,41.620395
76.931731,48.278192
76.957256,43.096671
76.96654,44.760985
77.005699,45.785214
77.038554,89.581646
77.0416,48.4366
77.048014,57.604703
77.056273,56.357427
77.104649,43.161349
77.108823,41.738107
77.115405,44.371677
77.134034,47.681783
77.140459,43.900048
77.259711,44.925153
77.266232,47.122999
77.276862,52.285853
77.280888,41.784055
77.283143,50.797928
77.306506,43.615987
77.311422,49.035872
77.322866,40.080835
77.33512,49.977531
77.337942,56.950223
77.359958,51.421521
77.408055,53.366191
77.441168,49.15485
77.452318,48.150615
77.468563,47.503965
77.473737,42.927601
77.479558,47.897679
77.508914,45.503696
77.516195,47.663216
77.540311,48.258023
77.560228,49.351339
77.583554,46.654763
77.601623,52.065214
77.605189,44.052434
77.605675,42.084837
77.606891,49.623499
77.619455,43.346238
77.63186,51.695099
77.644106,45.377801
77.712687,47.590912
77.719266,54.549123
77.737545,45.670769
77.753554,53.151014
77.79486,45.753097
77.840514,42.527112
77.891913,48.028994
77.901367,49.045347
77.915471,50.671583
77.921504,47.477075
77.959517,44.035389
77.971514,47.965751
77.972412,42.153607
78.002213,137.797446
78.010952,44.444321
78.045515,47.692213
78.0644,38.800526
78.07454,42.934063
78.079366,43.380328
78.111274,42.884202
78.115366,52.685534
78.121668,44.966416
78.169741,54.573349
78.225156,40.279688
78.272585,46.359812
78.320961,49.133285
78.332877,43.518767
78.334932,45.908681
78.340357,40.087514
78.355649,46.807825
78.358526,45.520937
78.418753,45.90005
78.533474,53.019684
78.534299,44.237841
78.543128,43.173948
78.547997,41.204801
78.560213,44.519115
78.561946,45.842377
78.596876,43.835959
78.614392,42.725396
78.63307,44.633822
78.647538,43.950556
78.687159,53.543632
78.699076,43.909045
78.746771,47.248906
78.75547,42.602044
78.759198,60.54332
78.777016,42.979722
78.781658,42.272108
78.784891,51.859015
78.824948,50.784334
78.84337,48.26503
78.857065,46.668918
78.868108,43.776347
78.896429,50.524785
78.914211,42.821128
78.928341,45.593694
78.936821,41.138492
78.939232,435.6057
78.953701,55.274394
78.955364,232.154889
78.958026,1234056.445
78.97691,775.747819
79.003126,47.418481
79.008371,49.556731
79.044849,49.882631
79.073266,47.645159
79.079852,48.830854
79.10003,48.018682
79.118548,43.202936
79.140077,45.959247
79.146337,41.183129
79.153016,42.578919
79.16888,39.222439
79.17364,43.172276
79.184749,42.388334
79.215498,43.832016
79.223272,58.865575
79.245262,47.58073
79.347639,51.514232
79.458779,42.887757
79.467933,55.524258
79.479271,47.58029
79.489352,53.1808
79.55257,44.961528
79.553327,50.10781
79.590941,45.082434
79.599191,51.545504
79.609884,49.511027
79.637595,45.368614
79.652004,47.887752
79.659589,42.585586
79.706557,45.344357
79.712463,50.705957
79.722166,43.721563
79.726892,45.297827
79.735163,50.216996
79.754918,48.844753
79.838069,45.782292
79.845596,48.294032
79.880286,40.197133
79.907038,51.083029
79.908732,42.359722
79.926602,47.492699
79.927873,48.565726
79.93787,48.175478
79.952699,42.476711
79.953971,51.524874
79.954649,508.986308
79.955327,102.405601
79.956174,18948.85202
79.962277,186.405909
79.965498,236.168102
80.044819,44.083086
80.054668,45.505336
80.060273,45.98068
80.096037,44.605132
80.124003,44.604992
