Mass,Intensity
75.001625,73.083167
75.007709,4220.96789
75.010019,94.494785
75.043686,69.453955
75.048465,79.156988
75.091491,71.330825
75.092185,66.963486
75.126293,68.289382
75.137642,112.756235
75.164751,70.815004
75.166605,73.502677
75.208264,67.056579
75.209733,82.004369
75.218007,68.406857
75.22025,68.836677
75.239201,68.71864
75.241213,73.024266
75.25313,75.627954
75.286186,66.879319
75.335385,66.424425
75.369349,79.3973
75.370047,82.336882
75.405587,79.317324
75.431598,77.408235
75.515547,67.798524
75.54683,85.354601
75.547297,61.947671
75.551112,74.357439
75.556095,72.00617
75.568865,73.525489
75.585611,67.645277
75.600181,65.623405
75.612573,64.576117
75.646569,64.485147
75.696746,128.772819
75.700416,76.969663
75.701821,72.391421
75.713691,64.187028
75.737909,72.72827
75.80218,73.108464
75.818691,59.622031
75.823465,74.285242
75.829101,71.094364
75.833563,58.432884
75.837321,73.453425
75.83873,66.795672
75.865358,78.321504
75.879225,67.68314
75.900073,82.933535
75.938891,74.884101
75.949796,65.452012
75.957487,69.202811
75.974284,68.30409
75.982763,68.871211
75.990694,63.504584
76.046718,81.757681
76.071488,67.622413
76.082895,64.146453
76.126577,69.388482
76.161472,63.432552
76.215238,77.613243
76.237408,77.650108
76.275538,71.380039
76.313775,68.838399
76.316462,81.818465
76.322706,79.178975
76.3265,70.574019
76.354097,77.221883
76.360504,61.279231
76.361453,71.854907
76.381946,93.121644
76.437689,77.20137
76.441255,59.934157
76.463682,82.184899
76.494366,64.766277
76.501664,79.960406
76.522292,56.895849
76.524197,70.746371
76.525228,65.552428
76.542373,62.222292
76.550074,67.390245
76.552139,67.092145
76.610533,67.396819
76.614587,65.672836
76.634386,62.48373
76.659445,72.353935
76.668278,71.42705
76.68961,70.398308
76.694547,70.165611
76.710474,85.18271
76.716847,64.361062
76.735729,74.358372
76.766897,70.26491
76.775908,82.369833
76.82434,68.728594
76.837193,64.255238
76.859795,70.528202
76.871379,69.563429
76.885044,65.155854
76.895594,67.596836
76.907906,60.248894
76.957103,68.783094
77.000259,66.02782
77.039363,61.282551
77.044173,65.605973
77.044814,75.421029
77.047139,91.616362
77.049304,69.651395
77.07962,61.417565
77.173729,78.200873
77.193907,69.481282
77.195193,69.977907
77.227365,78.882897
77.31296,69.819429
77.317554,63.669093
77.337707,69.154965
77.36779,75.132771
77.376019,54.858043
77.385461,59.87511
77.438752,70.279239
77.486519,69.460974
77.498245,72.84702
77.505605,99.329878
77.546147,61.309035
77.620841,67.633814
77.627975,72.899746
77.645898,81.899442
77.646871,69.5998
77.648412,72.755175
77.654577,74.150482
77.658552,77.452613
77.666179,68.167738
77.666991,66.96061
77.686875,130.635766
77.70969,80.141915
77.738934,85.50955
77.74324,65.036344
77.758601,64.69164
77.763967,83.076428
77.807559,72.820423
77.849641,76.397324
77.876601,64.91758
77.891595,69.830441
77.902679,83.198551
77.936029,74.995442
77.960667,63.280473
77.980419,80.817421
78.002955,68.063255
78.004752,78.905924
78.00565,72.45896
78.006794,68.749466
78.012348,76.301451
78.02403,79.116485
78.034816,72.107142
78.048792,67.75954
78.074302,67.602315
78.078882,68.715695
78.082481,66.348378
78.091398,77.834679
78.092543,71.24092
78.117256,77.781117
78.119793,82.287759
78.145256,72.705583
78.154593,78.459027
78.201466,54.53019
78.234105,63.202498
78.239027,69.644437
78.239437,78.506278
78.270376,61.970119
78.275302,79.124264
78.293777,75.35921
78.296898,72.442894
78.352285,81.603929
78.354258,62.371773
78.399254,63.164719
78.418925,128.152278
78.423124,63.89812
78.435722,64.447458
78.437369,71.825693
78.453184,63.149134
78.547345,77.017972
78.549078,70.619078
78.552131,70.950098
78.622415,58.63162
78.653499,87.887699
78.667973,85.359569
78.689649,68.595612
78.710589,80.967643
78.726072,71.715421
78.760532,76.044893
78.776527,83.329484
78.792775,63.362658
78.796673,83.766735
78.802892,67.382205
78.828275,69.12342
78.830681,68.330702
78.837153,60.207386
78.85533,79.420325
78.862469,74.33549
78.879741,64.422252
78.925439,64.846679
78.941401,61.127023
78.94215,65.7939
78.948636,62.412982
78.951047,64.183286
78.955705,258.561997
78.95637,221.645958
78.956703,114.699849
78.957951,184363.837298
78.990648,92.148595
79.007047,74.434831
79.027114,65.397928
79.063105,68.539987
79.071773,72.140123
79.082861,70.155521
79.110548,63.088981
79.111882,62.762847
79.227878,64.436073
79.231807,83.168693
79.234817,64.974108
79.241924,61.766185
79.243764,70.350433
79.248782,65.9037
79.255139,69.797531
79.328462,56.736903
79.351167,77.815405
79.355105,60.488812
79.370779,69.624008
79.371449,71.265839
79.407256,68.680145
79.411619,66.380755
79.412793,68.480781
79.432428,61.151556
79.437967,64.568161
79.441241,63.010992
79.452322,65.857071
79.507931,55.81904
79.550475,65.844228
79.557962,86.230311
79.563094,62.153509
79.566964,58.997791
79.573275,58.409652
79.637014,62.314843
79.63971,66.928455
79.653613,71.950044
79.670387,71.25451
79.675193,76.630353
79.703107,62.079624
79.713568,58.175352
79.741165,58.857492
79.742009,69.604382
79.755264,82.494901
79.756615,66.642231
79.768776,135.290221
79.779841,81.82137
79.822519,78.469906
79.840953,58.425803
79.842644,68.532111
79.850257,84.223177
79.870054,52.343442
79.873016,57.052045
79.879702,67.184706
79.883341,68.110041
79.884357,71.764247
79.938471,73.52969
79.939318,68.027617
79.962709,72.332616
79.96415,76.711386
79.971695,68.269769
80.005704,57.618349
80.023607,63.415233
80.02819,70.838216
80.056969,67.848547
80.10021,73.071633
80.164243,59.471694
80.204164,64.528291
80.215916,63.79854
80.222986,67.896499
80.224689,58.13335
80.228608,61.379249
80.232782,70.589185
80.240366,56.941814
80.313952,84.356019
80.32368,63.893357
80.328801,68.175443
80.340751,76.402377
80.343398,71.864466
80.366795,56.544221
80.388494,74.551915
80.395415,78.60099
80.415416,66.77608
80.462712,69.873536
80.481111,65.325473
80.501657,69.638814
80.524267,70.990513
80.529493,60.512807
80.538575,69.072853
80.5588,66.421983
80.590611,68.993099
80.595242,73.660346
80.609655,68.236335
80.616262,77.071841
80.677822,74.900187
80.72277,59.093534
80.753989,61.768066
80.801498,69.426604
80.825785,82.925418
80.843017,68.073463
80.873185,75.840805
80.931414,67.383075
80.962237,164.292076
80.973292,63.188657
80.975797,70.973499
81.023329,72.16216
81.028863,74.405257
81.065884,85.132993
81.069172,61.823763
81.099034,128.340446
81.124928,74.362445
81.135324,62.694638
81.138703,75.067788
81.140349,65.609166
81.155775,77.607326
81.17632,79.321515
81.189847,69.845987
81.258752,64.023224
81.262573,72.718607
81.291847,66.771418
81.344614,60.110377
81.353312,64.880167
81.40405,67.200556
81.422077,73.143425
81.428174,72.762715
81.449694,65.116338
81.460937,71.867516
81.490056,68.580901
81.507239,59.919521
81.534027,61.135967
81.552184,71.205968
81.560129,70.180331
81.614907,63.424314
81.64717,70.564582
