Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
75.059402,54.57256,0.0,0.0,0.0,0.0
75.063488,54.159513,0.0,0.0,0.0,0.0
75.069502,69.033355,0.0,0.0,0.0,0.0
75.081763,72.664674,0.0,0.0,0.0,0.0
75.105755,76.368603,0.0,0.0,0.0,0.0
75.11625,58.747694,0.0,0.0,0.0,0.0
75.12366,63.70933,0.0,0.0,0.0,0.0
75.129527,79.745456,0.0,0.0,0.0,0.0
75.136166,67.340655,0.0,0.0,0.0,0.0
75.159875,117.410994,0.0,0.0,0.0,0.0
75.173086,146.041676,0.0,0.0,0.0,0.0
75.194725,71.501247,0.0,0.0,0.0,0.0
75.202997,83.696293,0.0,0.0,0.0,0.0
75.258616,73.195522,0.0,0.0,0.0,0.0
75.270924,56.614364,0.0,0.0,0.0,0.0
75.272782,102.362952,0.0,0.0,0.0,0.0
75.276576,70.318183,0.0,0.0,0.0,0.0
75.30283,73.120607,0.0,0.0,0.0,0.0
75.308408,91.600656,0.0,0.0,0.0,0.0
75.328633,64.329725,0.0,0.0,0.0,0.0
75.367246,104.079893,0.0,0.0,0.0,0.0
75.407441,80.682888,0.0,0.0,0.0,0.0
75.42196,54.973431,0.0,0.0,0.0,0.0
75.422892,82.805099,0.0,0.0,0.0,0.0
75.430658,83.409261,0.0,0.0,0.0,0.0
75.450155,69.359117,0.0,0.0,0.0,0.0
75.451942,81.494171,0.0,0.0,0.0,0.0
75.47479,121.665693,0.0,0.0,0.0,0.0
75.498348,139.564644,0.0,0.0,0.0,0.0
75.511415,74.543151,0.0,0.0,0.0,0.0
75.516627,95.829325,0.0,0.0,0.0,0.0
75.524096,74.35275,0.0,0.0,0.0,0.0
75.525497,71.663987,0.0,0.0,0.0,0.0
75.601497,71.14554,0.0,0.0,0.0,0.0
75.658261,70.129519,0.0,0.0,0.0,0.0
75.6926,83.664203,0.0,0.0,0.0,0.0
75.703218,74.829135,0.0,0.0,0.0,0.0
75.750794,150.6225,0.0,0.0,0.0,0.0
75.762832,77.172076,0.0,0.0,0.0,0.0
75.764005,81.386443,0.0,0.0,0.0,0.0
75.766038,58.771598,0.0,0.0,0.0,0.0
75.777454,82.031605,0.0,0.0,0.0,0.0
75.897477,78.002589,0.0,0.0,0.0,0.0
75.910883,59.307792,0.0,0.0,0.0,0.0
75.921704,89.116463,0.0,0.0,0.0,0.0
75.922959,67.342882,0.0,0.0,0.0,0.0
76.030673,63.060995,0.0,0.0,0.0,0.0
76.043171,80.617204,0.0,0.0,0.0,0.0
76.094373,84.676393,0.0,0.0,0.0,0.0
76.132395,70.690609,0.0,0.0,0.0,0.0
76.153662,74.572617,0.0,0.0,0.0,0.0
76.196775,46.308205,0.0,0.0,0.0,0.0
76.247422,72.179097,0.0,0.0,0.0,0.0
76.250974,61.252477,0.0,0.0,0.0,0.0
76.272212,68.906125,0.0,0.0,0.0,0.0
76.274502,73.643216,0.0,0.0,0.0,0.0
76.280899,60.549745,0.0,0.0,0.0,0.0
76.356224,104.718824,0.0,0.0,0.0,0.0
76.430075,76.219702,0.0,0.0,0.0,0.0
76.445049,74.991794,0.0,0.0,0.0,0.0
76.449803,66.823958,0.0,0.0,0.0,0.0
76.481827,57.014031,0.0,0.0,0.0,0.0
76.53895,84.657461,0.0,0.0,0.0,0.0
76.543872,59.187555,0.0,0.0,0.0,0.0
76.554273,97.829782,0.0,0.0,0.0,0.0
76.585172,68.707711,0.0,0.0,0.0,0.0
76.587555,61.155171,0.0,0.0,0.0,0.0
76.60178,75.921986,0.0,0.0,0.0,0.0
76.636207,78.457336,0.0,0.0,0.0,0.0
76.648933,51.70961,0.0,0.0,0.0,0.0
76.691114,139.767956,0.0,0.0,0.0,0.0
76.734286,63.829547,0.0,0.0,0.0,0.0
76.7574,65.982037,0.0,0.0,0.0,0.0
76.764974,71.9349,0.0,0.0,0.0,0.0
76.779488,85.116195,0.0,0.0,0.0,0.0
76.813315,74.085392,0.0,0.0,0.0,0.0
76.831994,69.806972,0.0,0.0,0.0,0.0
76.848044,106.446118,0.0,0.0,0.0,0.0
76.853715,62.931862,0.0,0.0,0.0,0.0
76.854833,59.889742,0.0,0.0,0.0,0.0
76.921491,74.319914,0.0,0.0,0.0,0.0
76.949411,46.325802,0.0,0.0,0.0,0.0
77.003854,66.561413,0.0,0.0,0.0,0.0
77.027571,75.669627,0.0,0.0,0.0,0.0
77.028613,135.893988,0.0,0.0,0.0,0.0
77.034945,116.414147,0.0,0.0,0.0,0.0
77.052342,92.458682,0.0,0.0,0.0,0.0
77.077926,68.523308,0.0,0.0,0.0,0.0
77.081937,80.300144,0.0,0.0,0.0,0.0
77.107777,62.453818,0.0,0.0,0.0,0.0
77.113477,80.706334,0.0,0.0,0.0,0.0
77.197194,65.902014,0.0,0.0,0.0,0.0
77.289585,75.576504,0.0,0.0,0.0,0.0
77.304731,104.824508,0.0,0.0,0.0,0.0
77.343019,63.065576,0.0,0.0,0.0,0.0
77.369313,78.336255,0.0,0.0,0.0,0.0
77.369878,106.189577,0.0,0.0,0.0,0.0
77.426949,60.161714,0.0,0.0,0.0,0.0
77.434946,73.144891,0.0,0.0,0.0,0.0
77.503493,67.15098,0.0,0.0,0.0,0.0
77.5378,59.297634,0.0,0.0,0.0,0.0
77.567595,67.666643,0.0,0.0,0.0,0.0
77.571564,60.604749,0.0,0.0,0.0,0.0
77.594409,78.968269,0.0,0.0,0.0,0.0
77.612968,72.256244,0.0,0.0,0.0,0.0
77.664141,83.130885,0.0,0.0,0.0,0.0
77.697581,72.619038,0.0,0.0,0.0,0.0
77.731124,60.895366,0.0,0.0,0.0,0.0
77.746888,66.124654,0.0,0.0,0.0,0.0
77.770542,79.449882,0.0,0.0,0.0,0.0
77.781276,70.470583,0.0,0.0,0.0,0.0
77.782984,65.188726,0.0,0.0,0.0,0.0
77.793313,78.162781,0.0,0.0,0.0,0.0
77.797624,68.390474,0.0,0.0,0.0,0.0
77.820163,67.622088,0.0,0.0,0.0,0.0
77.821383,88.974102,0.0,0.0,0.0,0.0
77.823011,123.931159,0.0,0.0,0.0,0.0
77.825371,78.934753,0.0,0.0,0.0,0.0
77.831558,90.450553,0.0,0.0,0.0,0.0
77.845968,66.332849,0.0,0.0,0.0,0.0
77.847759,95.82243,0.0,0.0,0.0,0.0
77.877814,47.331049,0.0,0.0,0.0,0.0
77.889303,65.472543,0.0,0.0,0.0,0.0
77.931452,75.559137,0.0,0.0,0.0,0.0
