Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
75.012583,41.259922,0.0,0.0,0.0,0.0
75.023521,39.045518,0.0,0.0,0.0,0.0
75.027142,35.792255,0.0,0.0,0.0,0.0
75.031072,38.56498,0.0,0.0,0.0,0.0
75.072772,39.818608,0.0,0.0,0.0,0.0
75.109105,38.039887,0.0,0.0,0.0,0.0
75.135426,36.352565,0.0,0.0,0.0,0.0
75.156663,36.06671,0.0,0.0,0.0,0.0
75.174045,34.456229,0.0,0.0,0.0,0.0
75.187955,39.921929,0.0,0.0,0.0,0.0
75.205812,34.137981,0.0,0.0,0.0,0.0
75.245723,35.695862,0.0,0.0,0.0,0.0
75.246342,37.503978,0.0,0.0,0.0,0.0
75.278698,46.629326,0.0,0.0,0.0,0.0
75.280169,38.200873,0.0,0.0,0.0,0.0
75.309679,36.307623,0.0,0.0,0.0,0.0
75.349828,38.458823,0.0,0.0,0.0,0.0
75.387216,31.302652,0.0,0.0,0.0,0.0
75.394045,45.698869,0.0,0.0,0.0,0.0
75.394899,38.610618,0.0,0.0,0.0,0.0
75.409957,39.961835,0.0,0.0,0.0,0.0
75.412441,36.95157,0.0,0.0,0.0,0.0
75.415081,39.325235,0.0,0.0,0.0,0.0
75.428359,35.156605,0.0,0.0,0.0,0.0
75.429602,35.978445,0.0,0.0,0.0,0.0
75.44669,39.821441,0.0,0.0,0.0,0.0
75.449565,39.871313,0.0,0.0,0.0,0.0
75.450186,42.145573,0.0,0.0,0.0,0.0
75.518759,39.828503,0.0,0.0,0.0,0.0
75.540704,32.82136,0.0,0.0,0.0,0.0
75.557363,39.157368,0.0,0.0,0.0,0.0
75.601529,41.706889,0.0,0.0,0.0,0.0
75.619144,39.556944,0.0,0.0,0.0,0.0
75.666407,31.859497,0.0,0.0,0.0,0.0
75.671947,35.629143,0.0,0.0,0.0,0.0
75.672415,31.999914,0.0,0.0,0.0,0.0
75.674756,36.227202,0.0,0.0,0.0,0.0
75.675146,33.098417,0.0,0.0,0.0,0.0
75.726993,37.796276,0.0,0.0,0.0,0.0
75.731212,35.397985,0.0,0.0,0.0,0.0
75.750904,36.337755,0.0,0.0,0.0,0.0
75.756532,41.534538,0.0,0.0,0.0,0.0
75.811122,32.94318,0.0,0.0,0.0,0.0
75.840475,40.025152,0.0,0.0,0.0,0.0
75.858252,37.145306,0.0,0.0,0.0,0.0
75.882617,35.38259,0.0,0.0,0.0,0.0
75.896568,35.738002,0.0,0.0,0.0,0.0
75.915854,38.720387,0.0,0.0,0.0,0.0
75.921735,35.205501,0.0,0.0,0.0,0.0
75.942051,38.399371,0.0,0.0,0.0,0.0
75.984592,39.442587,0.0,0.0,0.0,0.0
75.98789,44.400149,0.0,0.0,0.0,0.0
76.006425,35.186997,0.0,0.0,0.0,0.0
76.015696,36.258745,0.0,0.0,0.0,0.0
76.025046,43.152641,0.0,0.0,0.0,0.0
76.03039,43.397624,0.0,0.0,0.0,0.0
76.048076,32.845639,0.0,0.0,0.0,0.0
76.089605,40.662367,0.0,0.0,0.0,0.0
76.11109,35.210151,0.0,0.0,0.0,0.0
76.12093,45.433939,0.0,0.0,0.0,0.0
76.174576,44.107945,0.0,0.0,0.0,0.0
76.194441,35.618752,0.0,0.0,0.0,0.0
76.222045,37.295853,0.0,0.0,0.0,0.0
76.262452,40.349945,0.0,0.0,0.0,0.0
76.264347,44.821782,0.0,0.0,0.0,0.0
76.280535,38.797789,0.0,0.0,0.0,0.0
76.312453,39.832297,0.0,0.0,0.0,0.0
76.319725,40.212993,0.0,0.0,0.0,0.0
76.329448,34.695176,0.0,0.0,0.0,0.0
76.333875,38.882477,0.0,0.0,0.0,0.0
