Mass,Intensity
65.00434,13.472145
65.005645,14.417539
65.013972,11.688015
65.090414,11.482737
65.110652,13.749027
65.125789,13.882246
65.131148,13.521967
65.157763,11.503605
65.181837,12.820193
65.196375,13.115178
65.209982,14.375917
65.210356,10.943262
65.234022,13.365344
65.235709,13.900853
65.277891,12.988526
65.279142,13.4628
65.288959,13.823389
65.323182,13.195195
65.33664,13.068645
65.349226,13.141854
65.377981,12.942634
65.401048,13.030539
65.402741,12.661316
65.408573,13.917312
65.422685,12.173741
65.434543,13.25073
65.439438,12.649546
65.462977,12.933163
65.467624,12.020651
65.469131,12.61307
65.494257,13.282279
65.512357,12.528542
65.57413,12.927828
65.597427,13.064277
65.648284,12.882493
65.650806,13.224751
65.661528,12.846067
65.673009,11.447169
65.70867,13.598605
65.758708,14.015515
65.81893,14.497938
65.828363,12.23712
65.846918,11.727541
65.848375,11.388066
65.851669,11.798997
65.852429,11.635566
65.881327,14.282372
65.891407,11.390949
65.90371,12.20777
65.955622,13.54713
65.968387,14.099602
65.977979,13.383751
65.991958,14.816484
65.995962,11.61805
66.005242,13.626295
66.009693,10.982774
66.010138,13.170585
66.032014,10.506272
66.049383,14.188397
66.067841,12.410344
66.091975,11.402191
66.130337,12.395885
66.14902,10.825563
66.159035,12.713831
66.197519,11.468024
66.228113,12.962377
66.229199,12.384015
66.249714,12.48172
66.250162,12.690751
66.252527,16.055473
66.259304,14.223977
66.265634,12.87207
66.284503,12.544681
66.294228,13.604437
66.301843,12.902575
66.315477,11.894324
66.323096,11.930832
66.330268,13.327037
66.338402,11.763064
66.35083,11.4751
66.362813,12.656097
66.366595,13.748936
66.377171,15.944777
66.397691,11.245386
66.401668,11.162464
66.449738,13.68112
66.470548,12.161809
66.473247,13.477973
66.482821,13.670627
66.495482,11.780048
66.498696,12.32769
66.551699,12.271802
66.558136,11.781761
66.566118,12.024352
66.571398,15.201809
66.57436,12.576955
66.633514,14.388809
66.650153,16.618544
66.653443,12.132617
66.66867,13.167566
66.671058,13.328968
66.700496,12.113201
66.701852,11.64638
66.705727,12.736159
66.716966,11.766909
66.729824,13.55883
66.730211,13.855263
66.735898,14.369478
66.758524,13.393644
66.785367,16.517757
66.814234,11.441119
66.839555,13.427503
66.853161,13.31258
66.857633,11.818942
66.859706,11.59047
66.868132,12.815597
66.870336,12.778229
66.871633,11.725882
66.883757,12.97815
66.89595,12.195383
66.916905,14.823831
66.941052,12.939643
66.944168,12.163748
66.977621,11.667978
67.014155,11.501984
67.040827,13.650619
67.044992,11.892381
67.053843,14.329109
67.069533,13.892004
67.079888,11.722068
67.088616,11.452865
67.092525,13.274509
67.135608,13.243698
67.140239,14.450468
67.175274,12.34713
67.183695,12.521964
67.195055,12.564316
67.207855,10.270907
67.210403,14.934475
67.222619,15.18251
67.23863,11.796651
67.249742,10.863152
67.250527,13.21353
67.270668,11.551206
67.276621,12.101615
67.286172,11.577167
67.29409,11.625998
67.304169,12.087367
67.310585,10.475548
67.327151,14.340287
67.337172,11.011265
67.380295,13.086563
67.390131,14.308237
67.392689,10.821643
67.407513,10.757581
67.41624,12.870385
67.450704,11.712856
67.480463,13.546345
67.502285,11.879491
67.510504,12.97761
67.533722,12.429152
67.534775,13.074186
67.552477,12.837071
67.561034,12.291452
67.575454,12.85929
67.592315,12.145977
67.600353,15.021008
67.606877,12.755214
67.626651,11.561327
67.627046,14.82225
67.639706,12.079438
67.659231,12.968126
67.701276,11.617769
67.703324,14.39409
67.717524,13.146441
67.757046,13.351308
67.760021,14.083852
67.773777,11.472953
67.774174,15.464891
67.775298,11.753891
67.779532,12.130632
67.79508,14.112686
67.807523,12.312327
67.829305,14.036066
67.849972,13.637922
67.857128,11.455125
67.863954,12.893237
67.864616,14.000705
67.883708,11.428084
67.892792,13.131835
67.934127,11.722813
67.9405,11.487783
67.966465,12.656792
67.96673,11.650164
67.97736,14.872383
68.077464,14.430075
68.090117,11.677466
68.173719,11.755635
68.174787,12.925231
68.183663,12.575553
68.192541,13.327832
68.193008,12.320026
68.202756,11.924445
68.236154,14.086727
68.242502,11.874285
68.248317,11.678147
68.287167,12.629536
68.303626,11.832301
68.305968,12.646375
68.357395,11.383618
68.363693,12.649442
68.374751,12.218144
68.388895,12.345205
68.490784,10.980989
68.49448,13.50255
68.501738,12.658652
68.538652,14.174051
68.579501,12.186079
68.601724,10.580712
68.607382,12.511266
68.612166,10.388727
68.617623,12.481741
68.620184,11.319487
68.630832,12.599559
68.648562,11.708832
68.650045,13.769541
68.804044,13.050296
68.808171,11.849209
68.832333,13.827099
68.848584,11.219925
68.880154,11.472967
68.881916,13.84292
68.890117,11.454085
68.920697,14.133019
68.929991,12.294893
68.946276,11.336882
68.947769,10.39805
68.954896,13.100122
68.971394,10.737572
68.981716,14.400874
68.993604,353.888524
68.994079,239.954493
68.994487,575.256542
68.996321,11.430854
69.010047,10.499807
69.01698,11.837445
69.033296,15.522376
69.033976,10.664313
69.086567,11.520031
69.087043,11.520593
69.106994,11.655891
69.111625,10.514947
69.128179,14.178066
69.19616,13.212023
69.20667,11.318586
69.213427,11.076206
69.222916,13.154758
69.255427,11.760818
69.259663,11.667795
69.291311,11.440291
69.29856,12.153821
69.318807,13.553918
69.324075,12.633599
69.35967,11.146279
69.373162,13.038496
69.39077,12.491783
69.452002,13.370176
69.470463,11.865814
69.482065,12.316707
69.523691,12.34033
69.539363,10.900166
69.552151,13.630931
69.577119,12.856317
69.578082,11.725749
69.582967,12.78746
69.583999,10.944749
69.633294,13.70052
69.660235,12.194329
69.705126,10.986993
69.722584,21.76027
69.72707,12.172696
69.772578,12.465685
69.7949,11.305712
69.819169,13.246144
69.841789,11.709076
69.843589,12.725706
69.855769,11.723185
69.866913,18.122266
69.878823,12.034507
69.912559,12.22673
69.957139,13.58033
69.9681,10.796073
70.021693,11.774962
70.032947,11.753778
70.062415,12.830461
70.062762,11.761882
70.065682,13.180992
70.07347,13.553186
70.078407,11.58345
70.127393,13.428423
70.13714,14.334512
70.148353,21.853004
70.16765,14.435299
70.226495,14.218312
70.229844,12.062329
70.237938,14.696599
70.252874,13.812148
70.283319,13.840642
70.311756,12.036336
70.386952,27.251914
70.432267,25.477499
70.440606,11.136311
70.453784,12.60477
70.454134,11.915015
70.456097,13.377929
70.487937,11.505503
70.496427,13.9415
70.5132,11.557853
70.519658,15.634491
70.520922,11.700996
70.558286,13.307023
70.601657,13.348508
70.619031,12.246584
70.655276,14.903103
70.660063,10.927191
70.661542,10.742131
70.684714,11.427846
70.685771,12.266166
70.74668,15.426562
70.75183,11.065206
70.766789,12.965662
70.781118,25.176698
70.78493,12.47745
70.795662,11.892487
70.846392,13.218485
70.849431,12.212896
70.866189,12.183352
70.890665,13.835198
70.911756,23.294875
70.913525,12.044623
70.918198,13.315046
70.918694,12.342687
70.942842,12.557496
70.944755,13.60209
71.012597,2316.776267
71.029412,14.588034
71.048151,13.403997
71.049003,12.740013
71.054399,12.88827
71.069312,13.611493
71.104838,13.085228
71.113866,11.840957
71.11671,12.861204
71.118629,11.021651
71.121189,11.685377
71.165365,15.875209
71.177536,12.130309
71.26311,12.132775
71.26418,11.500114
71.269386,12.371183
71.271383,11.594137
71.276519,15.164204
71.277304,12.045527
71.296426,13.284009
71.297925,12.150976
71.315199,12.12982
71.317912,13.198699
71.324481,14.891329
71.327481,13.703381
71.350695,14.13022
71.375709,15.911271
71.416544,10.81801
71.420909,12.169718
71.437083,13.663593
71.475105,14.744528
71.479117,13.164161
71.506707,13.58691
71.515525,13.243214
71.532663,24.255064
71.59941,14.028129
71.618662,12.263181
71.623189,13.483877
71.645542,12.702371
71.719719,19.734469
71.779014,12.533354
71.785719,14.369165
71.799421,11.981502
71.80281,14.736488
71.804253,11.780329
71.812621,13.613783
71.827412,15.076722
71.830949,15.857828
71.83499,12.918598
71.843652,14.331695
71.861847,14.417039
71.884673,12.659914
71.887347,11.29063
71.908667,10.51845
71.91416100000001,13.756162
71.924862,14.259609
71.933685,12.099462
71.941931,12.587969
72.023887,11.82554
72.062307,12.132193
72.12878,13.471275
72.132774,13.322699
72.16038,13.799925
72.191201,14.891371
72.192364,11.988596
72.204,11.742398
72.207783,13.057684
72.214475,12.562089
72.234558,13.023782
72.250281,12.564783
72.254067,13.723486
72.288226,13.593377
72.314755,13.115675
72.320296,12.625798
72.334515,12.708738
72.335974,14.493055
72.357639,13.863812
72.370264,13.395359
72.440673,13.11109
72.442354,14.69126
72.51931,12.777352
72.535492,13.127522
72.544427,13.05049
72.547943,12.073566
72.553291,13.493931
72.561497,12.665546
72.574615,12.939129
72.579966,13.501407
72.653837,13.861345
72.656333,13.576732
72.661326,13.539833
72.666539,15.301085
72.678143,15.097823
72.685489,11.513068
72.688281,13.180245
72.689603,11.635229
72.71231,14.766699
72.718191,13.528278
72.744736,12.947604
72.751209,13.378489
72.767027,13.235738
72.772988,13.412632
72.788739,12.383268
72.804423,13.063116
72.809062,14.80866
72.82932,12.849031
72.854009,13.198377
72.887415,13.836586
72.891915,13.121285
72.902171,12.886515
72.934945,14.213196
72.938416,15.732966
72.944767,13.660574
72.97114,15.8795
72.986587,12.890984
72.991835,1553.596301
73.001964,12.195148
73.00581,13.434437
73.028221,138.643165
73.034436,13.769072
73.040948,12.300878
73.047164,13.670607
73.059081,13.701128
73.065152,12.572264
73.119527,12.663246
73.123678,12.14473
73.138209,12.622565
73.186058,13.825445
73.192516,13.679869
73.208107,11.744193
73.216128,12.275565
73.291196,13.877978
73.32334,13.392001
73.325275,11.522192
73.336367,11.702535
73.350812,13.739798
73.356696,14.014076
73.363102,13.240762
73.382846,12.88052
73.395069,12.283563
73.400437,17.32872
73.440486,12.682632
73.448693,13.068374
73.448992,16.879239
73.449439,14.947644
73.474445,12.816751
73.487363,13.196479
73.498566,13.937399
73.504244,14.761255
73.515974,14.324695
73.522774,12.370655
73.567037,13.887952
73.578109,12.468837
73.587987,11.875805
73.595171,12.785573
73.632833,14.039938
73.63538,12.473065
73.654859,15.576254
73.666926,12.977627
73.67712,12.200639
73.685968,16.114484
73.687842,12.775636
73.72475,12.578938
73.730679,12.106485
73.733005,14.207539
73.75808,12.304294
73.768219,12.109916
73.800376,13.357113
73.801804,12.771725
73.806615,12.545562
73.807216,14.576629
73.840603,12.712358
73.857229,11.938621
73.865432,12.113526
73.874388,14.663867
73.883647,12.855765
73.913545,14.641293
73.916784,12.825088
73.945496,12.989452
73.97694,13.305278
73.97973,12.540147
73.995649,43.468655
73.999498,19.902356
74.023199,11.793855
74.029919,14.286846
74.033166,13.792307
74.051746,12.618017
74.065497,13.574795
74.080687,12.550466
74.106999,12.353356
74.129314,12.41241
74.133248,12.950669
74.1362,12.325347
74.148914,12.452033
74.155197,11.903775
74.160799,14.462807
74.187305,13.128563
74.197305,14.534133
74.227999,14.9278
74.257348,12.537052
74.271004,12.913863
74.309945,13.438781
74.310477,13.507328
74.323844,13.45117
74.343901,12.649259
74.35933,13.884611
74.368528,15.219397
74.380542,14.186445
74.42779,12.485536
74.455352,12.650128
74.460227,13.502522
74.463959,13.89747
74.470282,18.490512
74.48133,13.807414
74.573619,13.912369
74.594313,13.788466
74.606611,14.572243
74.617001,13.887301
74.636566,14.485678
74.670593,11.893895
74.687883,16.088548
74.861269,15.418784
74.86772,16.032046
74.869102,12.259613
74.872942,10.82606
74.894913,11.987661
74.901752,11.344257
74.903673,14.789254
74.908515,11.855431
74.912896,12.945628
74.918891,13.956744
74.9325,14.639381
74.934345,13.446027
74.940959,12.243999
74.949727,13.843888
74.953727,12.304217
74.960651,76.685995
74.969269,12.63297
74.988896,13.636046
75.007529,8750.768445
75.007991,14.845245
75.015846,11.902258
75.022471,14.288279
75.024166,14.798075
75.029944,11.926919
75.060617,15.077243
75.072953,12.946329
75.093237,14.688063
75.108745,15.636363
75.113144,11.943032
75.122251,12.321551
75.173143,12.512496
75.179634,13.843245
75.18798,14.011101
75.216508,15.686217
75.237624,14.987872
75.263858,12.260234
75.269586,13.681308
75.285381,13.466582
75.29297,15.18462
75.312724,12.63266
75.32582,13.369581
75.389333,12.206857
75.418209,17.007843
75.463884,11.216735
75.472899,14.722018
75.475309,13.18527
75.499023,12.719571
75.5082,17.099902
75.530607,12.657097
75.535509,12.964203
75.550454,13.924037
75.55349,12.853806
75.58503,24.653271
75.595782,10.990245
75.615031,12.921903
75.629376,11.948154
75.6914,11.960351
75.719433,14.01359
75.732401,12.636836
75.758972,14.117299
75.779535,14.61925
75.781959,13.141787
75.783523,11.541086
75.791814,12.538155
75.7951,13.987977
75.807461,13.400451
75.816695,13.577947
75.83548,12.548592
75.837203,10.825816
75.895642,13.402393
75.913281,14.760717
75.916653,13.47462
75.925201,14.186091
75.926769,13.25873
75.938221,12.208035
75.949441,16.287535
75.952265,11.404609
75.972672,13.16055
75.978324,12.634687
75.992144,13.659211
76.010288,13.2346
76.010916,13.56982
76.017673,13.131097
76.019402,12.739077
76.025374,11.814781
76.027338,15.934722
76.078602,14.305584
76.136927,12.744158
76.153705,14.707712
76.166469,11.718672
76.198946,11.608448
76.218189,12.680934
76.227341,12.830988
76.229471,13.059546
76.24991,13.404024
76.256304,16.189576
76.29658,11.911083
76.301636,12.170203
76.310882,12.931686
76.336097,12.465682
76.33673,11.82762
76.34013,12.435448
76.357528,14.612307
76.364173,12.722464
76.369315,14.900373
76.395114,13.309397
76.409048,14.748673
76.466485,13.157706
76.47354,24.142824
76.483926,13.335905
76.508197,12.399504
76.517241,14.485504
76.557407,12.494156
76.562727,13.784766
76.572656,11.72129
76.62161,11.394085
76.633219,14.690234
76.648093,14.234571
76.655492,13.314485
76.660107,12.736676
76.715119,13.270822
76.716473,13.814034
76.748585,12.539081
76.766921,14.349564
76.777766,12.595805
76.793479,15.785544
76.805926,12.639955
76.819573,12.473891
76.848875,15.027401
76.872999,12.033139
76.875716,11.226274
76.899373,11.804149
76.899853,13.439379
76.955363,66.687496
76.955923,137.347944
76.980579,13.0165
76.984742,12.689261
77.054295,13.154492
77.064158,16.295012
77.117358,13.153409
77.126109,12.806301
77.150846,13.110781
77.174309,12.950956
77.184518,12.927145
77.234462,13.558092
77.238164,13.689105
77.239371,12.766452
77.241705,13.585345
77.261667,14.218512
77.28518,12.681289
77.287838,17.188503
77.295894,13.176711
77.34514,12.780002
77.368611,13.38458
77.413405,12.41219
77.420107,14.95014
77.43198,16.247054
77.446036,12.418646
77.464704,12.08916
77.514111,14.169167
77.52989,14.781447
77.531104,12.318145
77.565348,13.014596
77.56713,14.535519
77.584302,13.17432
77.585274,22.669994
77.591188,14.438891
77.59686,11.739895
77.614285,14.419306
77.629526,14.990655
77.679254,14.759181
77.690537,12.248761
