Mass,Intensity
75.007655,21382.942017
75.012583,41.259922
75.023521,39.045518
75.027142,35.792255
75.031072,38.56498
75.072772,39.818608
75.091513,38.500126
75.109105,38.039887
75.135426,36.352565
75.156663,36.06671
75.174045,34.456229
75.187955,39.921929
75.205812,34.137981
75.245723,35.695862
75.246342,37.503978
75.278698,46.629326
75.280169,38.200873
75.309679,36.307623
75.349828,38.458823
75.387216,31.302652
75.394045,45.698869
75.394899,38.610618
75.409957,39.961835
75.412441,36.95157
75.415081,39.325235
75.428359,35.156605
75.429602,35.978445
75.44669,39.821441
75.449565,39.871313
75.450186,42.145573
75.454848,37.862957
75.456247,38.178212
75.518759,39.828503
75.536034,37.477857
75.540704,32.82136
75.557363,39.157368
75.583141,37.433069
75.601529,41.706889
75.619144,39.556944
75.666407,31.859497
75.671947,35.629143
75.672415,31.999914
75.674756,36.227202
75.675146,33.098417
75.726993,37.796276
75.731212,35.397985
75.750904,36.337755
75.756532,41.534538
75.811122,32.94318
75.840475,40.025152
75.858252,37.145306
75.882617,35.38259
75.896568,35.738002
75.915854,38.720387
75.921735,35.205501
75.942051,38.399371
75.984592,39.442587
75.98789,44.400149
76.006425,35.186997
76.01106,291.723765
76.015696,36.258745
76.025046,43.152641
76.03039,43.397624
76.048076,32.845639
76.089605,40.662367
76.11109,35.210151
76.12093,45.433939
76.174576,44.107945
76.194441,35.618752
76.222045,37.295853
76.262452,40.349945
76.264347,44.821782
76.280535,38.797789
76.291041,36.774956
76.312453,39.832297
76.319725,40.212993
76.329448,34.695176
76.333875,38.882477
76.342731,37.183856
76.350876,37.114625
76.356967,40.31308
76.409515,37.021816
76.432325,34.516083
76.4641,37.221379
76.49653,32.850932
76.500575,44.801023
76.506763,44.334181
76.509381,45.497761
76.559069,35.378855
76.577973,35.549915
76.598235,32.875995
76.637431,37.179136
76.64618,31.707915
76.649601,39.784654
76.658751,36.649182
76.690986,42.445762
76.69855,39.727175
76.711054,38.204149
76.722764,41.199632
76.761417,36.801164
76.813107,33.293882
76.813666,39.825872
76.817178,35.649511
76.855423,33.896816
76.856062,41.781866
76.8575,41.25547
76.895216,36.698683
76.90481,36.369762
76.908328,34.104963
76.924962,40.078615
76.951203,38.780596
76.961767,44.361104
76.978418,40.21717
76.986025,44.527183
77.002123,43.453569
77.02015,41.19077
77.03193,41.067975
77.038503,111.250164
77.085579,34.998807
77.090794,41.778356
77.094566,36.227105
77.119529,37.505091
77.127558,37.462068
77.163465,40.71518
77.165715,43.786492
77.183557,43.766906
77.196984,47.478887
77.223364,32.067234
77.237847,45.901159
77.244849,37.505219
77.247585,34.557111
77.252093,34.808521
77.276166,41.373827
77.285267,40.481371
77.2988,35.502176
77.324185,41.890645
77.330956,42.984889
77.339422,42.770637
77.352324,36.929246
77.357083,40.132726
77.363617,36.848317
77.367408,38.905427
77.388469,34.05902
77.400011,39.362715
77.404047,35.184528
77.508296,42.039798
77.532732,35.28282
77.534675,37.050181
77.53686,41.180948
77.543983,39.571631
77.58172,39.974401
77.670015,39.112993
77.700941,43.53558
77.711254,38.914261
77.721975,33.949693
77.731643,37.44474
77.78147,44.898373
77.785698,48.543501
77.793263,33.492238
77.805303,37.170523
77.838834,32.80619
77.844777,40.266245
77.847546,33.782379
77.85121,32.336196
77.875157,36.035274
77.889334,36.182848
77.919495,33.887856
77.922757,38.18067
77.934011,43.755647
77.952692,42.744941
77.99383,45.998403
78.001017,33.917368
78.00608,48.412563
78.031569,79.213679
78.033776,2516.194211
78.058624,34.801218
78.12358,40.129012
78.136925,37.145473
78.17403,36.297016
78.202553,37.870912
78.236997,41.96313
78.245776,38.855336
78.275734,35.015548
78.310145,60.210007
78.352882,40.921189
78.413102,35.370254
78.465151,36.225943
78.476029,41.108748
78.480644,40.294932
78.483941,39.029324
78.506036,42.335436
78.544643,39.222593
78.597897,35.16542
78.598475,42.011188
78.641035,38.656738
78.645417,42.638191
78.661046,41.399841
78.668325,38.118951
78.712183,49.405775
78.754421,38.505786
78.764613,45.492612
78.793211,39.875322
78.822737,37.632631
78.85726,38.378804
78.870046,40.586834
78.873036,37.964877
78.880094,39.343558
78.909835,35.635396
78.91773,76.404516
78.939011,331.75304
78.956059,31.208876
78.956391,54.739137
78.956724,156.009284
78.957972,1014814.675466
78.976856,225.87127
78.995247,42.761182
79.018891,37.728713
79.027135,36.571532
79.041462,39.577062
79.047544,31.655286
79.04821,31.276338
79.070627,42.847766
79.09714,38.192005
79.128423,41.501436
79.153295,41.748078
79.254574,36.55137
79.261517,39.844786
79.274987,41.543543
79.298422,42.91073
79.342473,56.720593
79.344652,46.351858
79.366105,40.657941
79.368704,37.359645
79.403922,38.268868
79.4082,47.593282
79.472497,36.658537
79.479468,56.584934
79.496691,39.998042
79.529976,34.140729
79.597704,33.98453
79.600567,75.320672
79.614123,37.352918
79.665856,36.358098
79.676394,38.64039
79.698404,41.204439
79.704055,45.981913
79.716626,32.484225
79.800731,37.132898
79.840551,38.690513
79.844103,35.862852
79.857975,39.007329
79.870413,37.470839
79.897837,34.657082
79.900801,35.835409
79.906389,44.628925
79.954677,838.213412
79.956203,22074.282681
79.961543,37.20425
79.965442,115.428196
79.981212,44.667905
80.045018,36.454275
80.059962,41.476891
80.192349,44.594212
80.23161,37.380114
80.255982,35.852241
80.296398,34.674857
80.313631,42.314304
80.356652,42.421011
80.369036,37.737005
80.370659,34.650794
80.398341,37.681851
80.401503,42.622784
80.413812,37.89874
80.442457,40.717219
80.479505,35.245663
80.490034,41.121492
80.521804,38.546851
80.523517,37.769201
80.549307,36.916469
80.558306,42.425489
80.594834,34.227217
80.601696,40.316414
80.612678,38.879725
80.635764,47.488926
80.681106,45.70908
80.701729,40.902692
80.714537,39.705753
80.734055,48.415233
80.756935,39.561573
80.761064,50.605863
80.829337,42.490144
80.895109,37.345252
80.895627,38.911266
80.90201,40.505498
80.927464,45.504395
80.962257,5632.750953
80.964071,3670.308106
81.025251,36.548209
81.069711,34.124083
81.125208,40.662834
81.131965,45.110445
81.140889,39.990836
81.146695,43.446163
81.149381,41.625695
81.153714,36.435034
81.156921,42.631496
81.196893,36.798402
81.200622,37.883037
81.210078,38.562278
81.229168,36.712386
81.234376,38.115205
81.24132,39.714144
81.245227,41.877246
81.245921,41.498079
81.24705,39.214761
81.26789,38.210787
81.285437,35.843697
81.335329,38.327349
81.39963,42.83704
81.449104,38.444117
81.460259,44.110517
81.468889,40.864509
81.504903,42.612286
81.533087,42.863628
81.581634,37.61474
81.582508,42.111925
81.594127,38.991976
81.600593,40.137983
81.626291,38.876908
81.647627,35.283681
81.652088,36.455801
81.653837,39.249865
81.659523,37.713427
81.666959,39.232545
81.734545,40.912305
81.767229,38.70162
81.771612,38.884689
81.794233,43.503096
