Mass,Intensity
75.004001,33.538729
75.007698,26159.922716
75.074434,35.416107
75.096185,37.547654
75.142573,35.837241
75.180193,30.59057
75.181893,33.966219
75.206861,33.164828
75.209103,33.998634
75.2272,39.726185
75.263412,43.475894
75.266044,34.516749
75.358014,33.05737
75.36926,38.539622
75.390907,35.637564
75.418385,31.23894
75.439432,35.798904
75.453027,44.347334
75.456601,29.316409
75.470668,31.344792
75.476031,34.367416
75.488392,53.238331
75.496635,31.040913
75.505501,32.132871
75.531097,47.424817
75.569009,31.937078
75.589729,34.309719
75.599235,42.227569
75.608976,35.482848
75.621916,37.791362
75.625892,34.859854
75.639928,33.190512
75.64063,33.241983
75.652251,35.418577
75.718366,33.215524
75.734459,34.799897
75.75853,40.136899
75.762673,30.861799
75.776199,31.041746
75.878116,31.556927
75.899747,34.409405
75.926014,37.705308
75.946881,31.235297
75.970661,35.204682
75.976235,32.011387
76.010947,45.022295
76.017704,33.827008
76.023912,32.434057
76.031613,29.732299
76.060072,35.137157
76.065892,31.639629
76.075802,35.822131
76.0854,32.979822
76.086423,33.675528
76.117432,33.140805
76.123022,37.163772
76.123652,29.933812
76.175802,33.294712
76.178718,29.569431
76.221221,31.635999
76.226428,31.332769
76.241499,34.734852
76.261865,29.551643
76.270313,31.137144
76.300645,35.234582
76.322615,35.490835
76.332022,38.136974
76.339691,37.022233
76.35978,37.270528
76.373229,33.441747
76.404651,33.399131
76.413044,58.169773
76.428884,28.795615
76.433399,32.807137
76.471992,32.384099
76.472706,31.643158
76.535851,31.745565
76.548156,29.848076
76.558637,39.282849
76.577064,32.499046
76.647816,33.636809
76.657443,34.047848
76.660546,34.434844
76.665639,30.001582
76.722569,35.760641
76.746316,31.906765
76.752772,37.267066
76.756678,35.122706
76.800304,32.770004
76.804533,33.661489
76.840055,40.600915
76.841572,44.257296
76.852673,34.212141
76.890225,32.932887
76.919648,30.705937
76.939245,37.571565
76.97462,33.754827
77.001207,41.027822
77.020515,30.835369
77.026766,31.8225
77.03454,31.144773
77.038468,81.924069
77.063083,32.734543
77.098784,35.642261
77.206839,34.281596
77.207402,27.870702
77.216732,34.726287
77.243204,31.65628
77.244491,30.051896
77.262442,32.36906
77.281043,34.14859
77.316089,33.517005
77.321167,37.447718
77.334307,31.824564
77.335355,35.258272
77.374392,28.887354
77.407241,39.311891
77.518859,32.955672
77.577634,30.492515
77.591973,35.997855
77.615233,39.608743
77.615638,32.751712
77.628205,30.737034
77.68337,35.253635
77.715523,37.657894
77.719503,34.098255
77.732013,33.874862
77.743957,31.450979
77.750621,30.074983
77.771351,40.103799
77.774278,31.055613
77.787045,34.766086
77.808684,35.903679
77.812671,34.38375
77.819344,31.947351
77.843601,32.683987
77.864775,35.236372
77.868115,33.838987
77.885061,37.248857
77.890684,30.653885
77.895166,37.639109
77.91049,30.970285
77.919704,34.476439
77.924433,32.317622
77.948413,31.209076
77.954614,33.002431
77.971181,38.208907
77.990038,35.60764
77.995427,36.810756
77.996979,40.714989
77.998122,37.871885
78.000654,37.824991
78.004166,41.658886
78.0165,36.074877
78.033739,1479.321996
78.037253,36.840867
78.070689,30.743846
78.078132,36.007342
78.100055,31.946727
78.10251,59.601928
78.11585,35.357782
78.125754,35.451029
78.128046,35.608312
78.129111,28.54925
78.140082,34.5828
78.152121,36.269255
78.17342,32.907942
78.198991,36.865188
78.220064,29.03637
78.233106,34.290402
78.23532,35.704195
78.252797,32.710103
78.272496,38.772232
78.28514,30.923186
78.285468,33.16341
78.304933,34.857479
78.306083,34.195764
78.347995,32.102392
78.369128,35.547299
78.426073,31.775926
78.474674,40.894194
78.487202,34.713907
78.503031,33.491922
78.548155,32.957168
78.558389,37.740399
78.559462,37.514086
78.597943,34.090824
78.622896,31.420475
78.659273,34.681716
78.697661,36.882588
78.717528,37.941283
78.731688,36.855476
78.736326,34.968248
78.753142,36.887912
78.756788,30.901568
78.775931,33.733012
78.814156,36.07296
78.823364,34.518158
78.826268,30.964909
78.845354,44.601133
78.850749,31.549913
78.867269,34.551916
78.87657,35.171235
78.906475,42.061366
78.914286,33.039588
78.917777,147.206726
78.92426,36.248683
78.9349,30.410805
78.935399,28.494183
78.954691,119.90501
78.955356,63.078487
78.95677,131.183387
