Mass,Intensity
75.001617,107.669749
75.0077,25097.340565
75.059402,54.57256
75.063488,54.159513
75.069502,69.033355
75.081763,72.664674
75.105755,76.368603
75.11625,58.747694
75.12366,63.70933
75.129527,79.745456
75.136166,67.340655
75.159875,117.410994
75.173086,146.041676
75.194725,71.501247
75.202997,83.696293
75.258616,73.195522
75.270924,56.614364
75.272782,102.362952
75.276576,70.318183
75.30283,73.120607
75.308408,91.600656
75.328633,64.329725
75.367246,104.079893
75.407441,80.682888
75.42196,54.973431
75.422892,82.805099
75.430658,83.409261
75.450155,69.359117
75.451942,81.494171
75.47479,121.665693
75.498348,139.564644
75.511415,74.543151
75.516627,95.829325
75.524096,74.35275
75.525497,71.663987
75.601497,71.14554
75.643128,75.274099
75.658261,70.129519
75.6926,83.664203
75.703218,74.829135
75.738447,86.875198
75.750794,150.6225
75.762832,77.172076
75.764005,81.386443
75.766038,58.771598
75.777454,82.031605
75.897477,78.002589
75.910883,59.307792
75.921704,89.116463
75.922959,67.342882
75.964149,66.334808
76.01095,60.925248
76.030673,63.060995
76.043171,80.617204
76.094373,84.676393
76.132395,70.690609
76.153662,74.572617
76.182111,64.958943
76.196775,46.308205
76.237162,63.310534
76.247422,72.179097
76.250974,61.252477
76.272212,68.906125
76.274502,73.643216
76.280899,60.549745
76.314319,61.613167
76.356224,104.718824
76.430075,76.219702
76.445049,74.991794
76.449803,66.823958
76.481827,57.014031
76.53895,84.657461
76.543872,59.187555
76.554273,97.829782
76.585172,68.707711
76.587555,61.155171
76.60178,75.921986
76.636207,78.457336
76.648933,51.70961
76.691114,139.767956
76.734286,63.829547
76.7574,65.982037
76.764974,71.9349
76.765851,87.68088
76.779488,85.116195
76.813315,74.085392
76.831994,69.806972
76.837264,80.025166
76.848044,106.446118
76.853715,62.931862
76.854833,59.889742
76.921491,74.319914
76.949411,46.325802
76.986955,382.184206
77.003854,66.561413
77.027571,75.669627
77.028613,135.893988
77.034945,116.414147
77.04224,67.555677
77.052342,92.458682
77.077926,68.523308
77.081937,80.300144
77.107777,62.453818
77.113477,80.706334
77.197194,65.902014
77.283061,62.134711
77.289585,75.576504
77.304731,104.824508
77.33802,72.3979
77.343019,63.065576
77.369313,78.336255
77.369878,106.189577
77.408538,65.246125
77.426949,60.161714
77.434946,73.144891
77.503493,67.15098
77.5378,59.297634
77.567595,67.666643
77.571564,60.604749
77.594409,78.968269
77.612968,72.256244
77.664141,83.130885
77.697581,72.619038
77.731124,60.895366
77.746888,66.124654
77.770542,79.449882
77.781276,70.470583
77.782984,65.188726
77.793313,78.162781
