Mass,Intensity
75.007616,26653.49557
75.041436,28.286631
75.072811,18.836407
75.075587,27.785144
75.079597,31.84889
75.092247,31.487659
75.109298,27.119021
75.140252,30.67262
75.175166,30.244458
75.190467,37.559834
75.237484,23.798195
75.256132,20.984072
75.28408,26.217905
75.309795,27.50188
75.33816,30.555212
75.37073,26.988
75.379496,27.041863
75.419779,27.139511
75.479136,23.655802
75.509075,30.209278
75.547593,22.719743
75.57212,29.033955
75.584661,28.512715
75.595334,21.247094
75.615051,26.389351
75.618949,32.91192
75.629552,29.255244
75.672298,34.600564
75.68783,28.637226
75.695949,32.356103
75.703992,20.045796
75.705085,26.019508
75.715081,22.099688
75.719299,28.802021
75.82204,38.718995
75.827206,18.265112
75.828067,31.425759
75.855472,29.1323
75.883049,34.141674
75.898959,32.836608
75.935501,31.28907
75.940522,20.298236
75.967831,24.700847
75.982904,23.381701
75.999003,29.203783
76.005444,26.665966
76.011021,158.981737
76.029801,30.415856
76.051025,32.381801
76.072573,34.989255
76.238575,35.220946
76.264782,35.657247
76.320476,30.427165
76.352024,27.600129
76.371879,28.849568
76.403063,29.539892
76.412564,30.829447
76.430226,34.447155
76.460336,26.250927
76.516879,30.143994
76.538466,28.675777
76.549898,27.78188
76.581588,18.934393
76.591918,36.440612
76.610595,27.611001
76.674627,35.125404
76.695644,27.347112
76.723919,36.691977
76.726708,31.811248
76.745753,20.970002
76.793359,30.618062
76.814025,21.33343
76.850831,32.357398
76.88063,32.512731
76.947322,27.682669
76.96693,30.614781
76.986946,13955.88746
76.989589,25.596463
76.993513,26.112243
77.038383,326.835957
77.074949,30.816098
77.087304,26.481525
77.121577,30.766032
77.149686,39.249526
77.192763,17.971801
77.194773,29.496137
77.201849,21.002946
77.221555,35.426037
77.281361,19.12661
77.311975,28.613166
77.37108,31.694509
77.387057,25.699491
77.422418,24.2207
77.443339,22.526599
77.523871,20.406287
77.527998,31.168501
77.541029,29.310016
77.598533,29.006156
77.654072,31.46593
77.655613,30.50192
77.673626,33.436133
77.724047,19.981497
77.809412,32.849493
77.838061,30.43737
77.839526,35.794958
77.849541,27.165271
77.901927,39.347195
77.903801,31.244375
77.924836,27.549248
77.962525,28.026277
77.966361,29.808013
77.969217,19.319667
77.987176,28.012374
77.990197,29.042265
78.004896,32.587027
78.033735,941.745374
78.036595,23.773024
78.121902,30.666958
78.196036,30.816322
78.196446,21.747808
78.209071,20.356397
78.215795,30.65376
78.28144,29.070967
78.315855,32.617065
78.31832,26.376337
78.331222,21.340541
78.348895,28.722308
78.522325,30.795612
78.557642,34.759065
78.591165,32.622645
78.592239,27.183083
78.654968,23.958992
78.670352,32.157362
78.743859,20.935168
78.755872,30.889189
78.794165,21.919498
78.809507,29.38391
78.81158,28.932752
78.827674,31.344715
78.839872,27.47104
78.85971,33.33517
78.917772,175.641355
78.922094,40.312982
78.933649,23.364448
78.954936,50.247958
78.955435,36.530621
78.955602,36.060209
78.956017,106.073979
78.956766,1466.51001
78.95793,114737.9639
78.974984,24.832548
78.991128,88.748686
79.04417,38.020561
79.097182,20.153613
79.104021,31.187167
79.132637,32.850543
79.20412,29.755304
79.217659,32.116445
79.219498,30.463875
79.224931,33.958204
79.232873,27.155068
79.280385,23.914764
79.380567,33.694922
79.404719,29.291455
79.42175,35.960278
79.493372,31.557939
79.528085,30.598099
79.552389,35.084279
79.612145,26.150664
79.615176,18.784372
79.640615,34.405626
79.647778,27.520536
79.661262,37.390556
79.66573,35.688248
79.747475,32.101169
79.757945,39.920856
79.824865,31.403463
79.84922,31.550415
79.858103,34.31991
79.916255,27.397557
79.953449,112.606033
79.954127,231.549374
79.95472,479.584721
79.955229,152.925219
79.956246,29414.99446
79.961925,35.036196
79.985919,29.442078
80.013572,29.720739
80.020361,31.371519
80.093389,27.963385
80.096364,25.376496
80.121779,29.856921
80.140657,22.558591
80.158265,23.282332
80.15869,27.365254
80.202269,28.694459
80.21649,30.707385
80.256706,21.177494
80.284245,30.988019
80.317343,23.180593
80.349267,29.464792
80.36088,32.105891
80.374888,33.90553
80.379415,31.956628
80.40582,19.776892
80.431639,32.672808
80.483828,30.304882
80.53504,33.345647
80.56255,30.527252
80.572752,25.806874
80.635206,31.400778
80.666718,34.573983
80.694124,21.772409
80.694898,22.186718
80.70014,33.997124
80.873766,27.758226
80.899897,31.432922
80.906626,21.080943
80.915685,181.030436
80.924056,19.031751
80.93683,29.637538
80.937175,31.95394
80.946844,30.643021
80.958587,31.611724
80.959537,35.689003
80.962819,26.2103
80.964028,2719.319962
81.005067,20.938966
81.03351,43.652795
81.114945,30.670414
81.118409,35.645455
81.124299,32.473823
81.147258,30.913515
81.173262,28.627507
81.262028,29.743243
81.272624,36.369902
81.329199,27.7103
81.361032,29.526039
81.392709,30.970741
81.454464,30.701926
81.465184,35.007565
81.475471,28.721107
81.514456,21.558193
81.542033,31.353835
81.574777,27.630755
81.621701,28.987418
81.621876,28.711779
81.680479,19.936878
81.717247,25.620976
81.727056,30.907127
81.756143,21.791345
81.776215,21.227447
81.794628,32.518129
81.824366,28.861103
81.852978,22.033586
81.877828,39.401327
81.888018,30.207746
81.930464,31.154034
81.950161,27.138211
81.952008,574.859118
81.996529,30.284895
82.003835,33.197639
82.014753,45.019337
82.043289,28.84428
82.045579,41.271808
82.095379,30.338676
82.098201,30.94493
82.12034,27.364993
82.12978,22.029861
82.27928,29.697132
82.287332,32.970692
82.290341,20.00132
82.294943,20.807584
82.312115,29.071908
82.399299,29.721395
82.423689,29.735244
82.426173,31.649173
82.444806,27.200538
82.469394,27.747921
82.493104,31.722298
82.504297,22.676917
82.516114,32.45902
82.622493,30.812781
82.665512,35.744885
82.733985,26.820898
82.810135,32.778747
82.814602,32.026129
82.84168,28.075464
82.852318,23.477521
82.921649,33.203288
82.923976,30.953864
82.943226,25.383463
82.955048,33.419591
82.984077,25.237928
82.987661,32.163005
83.006216,35.064254
83.012761,484.371343
83.049177,6439.925325
83.059316,33.233474
83.099893,32.718301
83.10106,38.752433
83.108425,27.744108
83.130076,42.883199
83.15569,30.884653
83.210643,41.685575
83.229003,24.299739
83.342987,23.529745
83.345423,21.839776
83.374475,30.052612
83.376822,34.064558
83.411219,29.569974
83.420251,33.726785
83.426032,32.435328
83.452416,32.049608
83.463262,27.614447
83.464708,31.065081
83.49518,28.601518
83.508749,23.900511
83.520149,28.766871
83.556899,27.977528
83.559796,33.129536
83.585881,20.499148
83.643619,31.519623
83.663574,31.955021
83.712766,30.894466
83.73756,34.324363
83.765636,36.711391
83.816556,31.597634
83.833569,36.745576
83.848131,26.624189
83.858417,34.492247
83.872712,29.823198
83.890289,25.733439
83.894479,34.687843
83.935578,29.4983
83.950166,24.543342
83.96266,24.602323
83.984463,33.089374
83.992584,35.947263
84.00381,28.084943
84.007643,32.410622
84.043345,33.733606
84.04435,48.00925
84.074043,30.068946
84.079527,34.246637
84.091501,27.776111
84.151594,30.994124
84.16038,32.509777
84.213859,34.560895
84.262253,34.963437
84.316563,30.657996
84.356962,41.164435
84.406583,28.716587
84.472905,28.465543
84.493341,21.731184
84.537277,33.777734
84.539581,28.932076
84.545386,35.931541
84.55193,29.224175
84.573409,34.554365
84.579679,32.542081
84.608088,30.734359
84.633927,33.226295
84.645743,24.921817
84.648328,24.696497
84.649067,33.315384
84.672708,33.808937
84.681206,35.378014
84.74073,34.722678
84.76774,24.081149
84.788839,25.185353
84.791431,38.86407
84.80365,31.686724
84.811427,39.349697
84.8444,24.333062
84.87665,36.181048
84.889259,29.91827
84.899274,34.290052
84.906693,34.549625
84.918937,31.381342
84.945661,48.198032
84.970169,32.026427
84.979084,24.829104
84.979827,24.231358
85.028418,20478.60998
85.029998,35.477921
85.050451,45.344499
85.051939,37.255904
85.063657,27.112745
85.064866,2848.377447
85.098452,22.759475
85.124888,39.890792
85.149101,29.737654
85.15497,31.636543
85.166988,32.26966
85.172579,24.359381
85.176306,33.784289
85.179661,31.820932
85.207161,30.217423
85.24531,32.131993
85.251842,26.349963
85.264347,37.259842
85.271068,32.196783
85.322245,36.531179
85.338691,25.763819
85.346168,35.71718
85.382821,38.762626
85.395916,40.834038
85.415753,25.65624
85.424363,26.871425
85.425487,32.468879
85.453574,36.550729
85.464812,36.805734
85.466311,32.306933
85.46781,32.974646
85.509414,35.413384
85.513539,31.166665
85.52629,32.109813
85.564559,27.24387
85.57995,23.084411
85.610367,30.45343
85.63319,27.471919
85.642303,34.389073
85.648693,39.628623
85.679992,34.302472
85.733232,34.863869
85.769851,24.112335
85.779646,27.380478
85.8113,31.794294
85.824117,26.278217
85.833544,25.046903
85.838823,26.635329
85.849007,34.143543
85.851647,26.836285
85.861455,23.123128
85.882964,26.387559
85.894382,31.219085
85.907879,23.863959
85.915242,30.88704
85.965772,30.165701
85.969835,25.358543
85.99526,43.733606
86.007646,24.5436
86.012563,25.758721
86.017481,25.611214
86.020129,37.281392
86.031858,197.063935
86.032993,29.194064
86.050403,31.271217
86.058352,24.674716
86.061854,33.096946
86.064031,27.471391
86.067439,29.619489
86.070468,29.567393
86.084858,32.803283
86.130705,39.283797
86.24871,31.736778
86.263525,37.428736
86.294307,33.570179
86.307613,34.921976
86.32444,41.301189
86.373809,35.999694
86.468289,34.635957
86.497273,38.007944
86.634384,32.285392
86.68488,40.379144
86.704785,34.445596
86.858893,38.386773
86.892299,32.685439
86.986092,26.659849
