Mass,Intensity
55.00979,58.876926
55.010758,67.438017
55.012693,61.809595
55.030691,58.658123
55.035386,65.072396
55.046956,61.293889
55.062501,61.463203
55.06749,68.063445
55.067878,60.178828
55.072044,61.416024
55.093175,52.856824
55.116257,55.591865
55.120866,121.783803
55.13256,59.639962
55.134258,57.21074
55.146151,53.836823
55.15727,58.776829
55.15931,84.701691
55.166012,66.37872
55.174708,65.743891
55.179518,56.942552
55.205378,70.713331
55.23257,65.698876
55.234955,91.001199
55.23661,63.363748
55.238654,66.133465
55.247853,57.410773
55.250628,68.280959
55.255497,53.502267
55.26889,65.794035
55.32012,65.126646
55.336074,62.077485
55.354964,61.529119
55.382316,68.133258
55.398003,59.711662
55.398883,60.093813
55.404651,61.696751
55.410665,65.844011
55.419174,57.311328
55.419419,80.144265
55.465422,58.122819
55.494179,72.651611
55.498149,111.42061
55.501335,57.199899
55.509228,71.986302
55.517465,59.464847
55.53321,58.219285
55.541649,73.276242
55.559319,73.413039
55.574443,64.795822
55.605693,82.800016
55.618083,61.487662
55.644399,59.472169
55.656063,57.652661
55.662808,57.813804
55.68285,67.418686
55.687579,56.039753
55.699355,62.558003
55.706255,82.06859
55.718481,78.046047
55.723116,63.988832
55.737123,62.888989
55.751925,59.473574
55.756861,64.239621
55.764561,63.388286
55.769498,70.041782
55.783128,71.139205
55.78866,67.219242
55.824986,63.527281
55.82642,68.773475
55.83918,60.254081
55.846848,79.002365
55.847095,67.070846
55.847442,76.035756
55.847689,69.437272
55.847986,79.508204
55.848382,177.573776
55.848877,63.524132
55.848975,68.085421
55.849074,66.07728
55.849767,157.066586
55.850163,61.653942
55.850658,254.38333
55.851103,72.078745
55.851202,60.13955
55.851499,89.307753
55.852093,114.534466
55.852588,135.713935
55.853726,66.939529
55.856646,58.516354
55.857586,54.568728
55.865159,57.126678
55.884716,61.340637
55.893484,60.623321
55.894029,54.709399
55.897942,58.622328
55.898636,67.763954
55.906316,57.809107
55.907109,53.976147
55.910826,64.164251
55.926887,57.343993
55.929218,72.097405
55.931598,60.133158
55.944692,63.121151
55.945436,56.801192
55.95511,59.874967
55.972283,58.965872
55.973127,60.555655
55.980922,66.531964
55.991698,54.234848
55.999199,57.621976
56.000044,58.003034
56.001534,57.555506
56.008838,61.429928
56.012913,70.541575
56.023251,56.220853
56.028621,58.4624
56.060951,67.24357
56.06334,54.863854
56.065729,57.005743
56.067869,67.798031
56.110945,59.610681
56.114034,61.887039
56.138759,68.377111
56.142349,58.272568
56.155617,79.752902
56.165845,64.8401
56.182166,67.728112
56.206186,55.281731
56.209783,66.550091
56.244171,60.265348
56.245321,56.989271
56.253223,54.467185
56.260176,62.420231
56.275737,69.139179
56.338649,71.147123
56.341156,64.599317
56.361466,63.831324
56.36257,71.034921
56.387911,61.948057
56.388362,68.126914
56.39519,63.439189
56.400211,66.955819
56.417136,64.164684
56.424974,62.735727
56.426381,62.827643
56.428039,55.145276
56.436583,64.271399
56.480135,53.534426
56.48401,63.483785
56.49901,66.201617
56.508778,61.099682
56.513814,60.515638
56.523788,57.523615
56.538753,60.396065
56.54707,66.435276
56.559624,58.62875
56.574906,56.726023
56.575713,58.761117
56.577731,64.382432
56.589337,59.780209
56.602258,60.633348
56.609023,58.72665
56.620639,64.291076
56.639937,59.355142
56.645699,61.723782
56.673102,57.59026
56.686154,71.386308
56.701234,59.642321
56.713131,55.251617
56.713485,61.931101
56.725335,57.432218
56.752391,70.0975
56.76187,61.243078
56.774242,64.382059
56.776575,56.264812
56.784183,57.676621
56.793061,58.672238
56.804784,53.625804
56.814022,56.698238
56.831186,55.919319
56.87006,62.613653
56.905462,51.946717
56.920427,58.820617
56.939064,70.524812
56.954042,57.816187
56.958068,63.358807
56.966579,62.049352
56.968975,62.074403
56.980956,61.880903
56.996103,54.206323
56.997838,59.367138
57.002072,58.834967
57.004572,69.179062
57.005286,62.170396
57.032287,56.424258
57.033513,561.015068
57.038006,54.370299
57.045157,54.825571
57.056548,59.132825
57.058337,58.09493
57.089262,55.786769
57.089517,70.349825
57.099541,68.478224
57.108647,65.872181
57.117039,64.549247
57.123845,60.23432
57.151443,123.718003
57.153748,63.55947
57.158768,59.623656
57.175319,63.789883
57.175883,53.653439
57.178445,62.391339
57.194595,92.906641
57.212341,52.763425
57.228761,70.193364
57.232046,54.409887
57.237436,60.512127
57.252377,61.955206
57.256024,70.513356
57.263883,50.468476
57.288138,56.507993
57.292147,62.649274
57.320999,61.55399
57.330312,60.916421
57.331444,65.643944
57.360171,60.470736
57.36151,62.920389
57.401084,67.184264
57.403146,58.00472
57.408045,63.356263
57.429038,55.654743
57.443332,76.678708
57.455772,69.361817
57.463208,67.323723
57.478238,58.45456
57.491568,59.420544
57.497977,59.386695
57.517933,61.603085
57.52026,62.559976
57.52357,67.794829
57.548301,65.041067
57.55239,57.93519
57.554253,52.655419
57.56963,58.012196
57.56994,58.112011
57.603459,95.063491
57.607761,56.264986
57.636592,67.739697
57.651949,62.038185
57.655115,58.090696
57.664821,51.985064
57.684864,58.787677
57.707049,68.503943
57.707464,62.606159
57.710583,55.473018
57.719991,65.485522
57.720563,62.799985
57.729038,62.71014
57.74282,55.805249
57.754005,64.03984
57.756502,68.484188
57.780967,60.54797
57.821758,63.734711
57.831767,53.664839
57.853306,56.845068
57.860558,57.285089
57.872142,71.506064
57.873447,66.963771
57.878041,78.567456
57.897464,57.87461
57.899344,58.332417
57.910366,69.411938
57.926669,55.957532
57.951503,59.066287
57.964894,57.361875
57.970807,52.086859
57.976929,64.104516
58.00211,55.037491
58.003838,70.065621
58.004519,61.395968
58.015309,70.431626
58.016723,57.056038
58.017666,65.490583
58.029613,54.163591
58.044236,57.777392
58.068097,67.546981
58.070877,52.581393
58.10998,53.563237
58.113184,149.168693
58.131254,70.993338
58.13446,59.567333
58.154275,52.313822
58.163056,62.684397
58.175941,60.195665
