Longitude_Rounded,Latitude_Rounded,Hit_Count,Geographic_Location,,,,,,,,,,,,,,,
-122.9506,49.1654,35,Canada,,,,,,,,,,,,,,,
-122.7176,45.5951,18,USA,,,,,,,,,,,,,,,
-122.4313,47.6619,57,USA,,,,,,,,,,,,,,,
-122.1405,47.7897,86,USA,,,,,,,,,,,,,,,
-114.0246,51.0131,35,Canada,,,,,,,,,,,,,,,
-104.7558,50.4411,109,Canada,,,,,,,,,,,,,,,
-97.6045,30.209,24,USA,,,,,,,,,,,,,,,
-97.0659,31.5171,7,USA,,,,,,,,,,,,,,,
-95.5649,29.7058,32,USA,,,,,,,,,,,,,,,
-95.2665,29.7003,54,USA,,,,,,,,,,,,,,,
-90.5594,14.5786,22,Guatemala,,,,,,,,,,,,,,,
-89.6029,-0.908,49,Ecuador,,,,,,,,,,,,,,,
-86.2236,12.1639,17,Nicaragua,,,,,,,,,,,,,,,
-86.1056,11.9842,45,Nicaragua,,,,,,,,,,,,,,,
-85.94,12.9147,45,Nicaragua,,,,,,,,,,,,,,,
-85.9328,11.9136,7,Nicaragua,,,,,,,,,,,,,,,
-80.6858,-5.1576,18,Peru,,,,,,,,,,,,,,,
-79.9106,-2.1739,23,Ecuador,,,,,,,,,,,,,,,
-79.4806,43.6313,14,Canada,,,,,,,,,,,,,,,
-78.9439,-2.8775,1,Ecuador,,,,,,,,,,,,,,,
-78.4172,-0.1853,6,Ecuador,,,,,,,,,,,,,,,
-75.5853,45.4599,179,Canada,,,,,,,,,,,,,,,
-60.9916,14.0158,14,Saint Lucia,,,,,,,,,,,,,,,
-59.6247,13.1489,19,Barbados,,,,,,,,,,,,,,,
-59.6212,13.1008,13,Barbados,,,,,,,,,,,,,,,
-57.6334,-25.276,8,Paraguay,,,,,,,,,,,,,,,
-57.5924,-25.2623,7,Paraguay,,,,,,,,,,,,,,,
-57.4893,-25.3288,33,Paraguay,,,,,,,,,,,,,,,
-56.1609,-34.9301,2,Uruguay,,,,,,,,,,,,,,,
-53.6531,66.9425,15,Denmark,,,,,,,,,,,,,,,
-48.4921,-1.4283,39,Brazil,,,,,,,,,,,,,,,
-21.8723,64.1558,20,Iceland,,,,,,,,,,,,,,,
-17.4266,14.7462,14,Senegal,,,,,,,,,,,,,,,
-9.1746,38.7221,34,Portugal,,,,,,,,,,,,,,,
-9.0547,53.2536,7,Ireland,,,,,,,,,,,,,,,
-8.6291,41.1579,40,Portugal,,,,,,,,,,,,,,,
-7.5088,33.6343,8,Morocco,,,,,,,,,,,,,,,
-5.3221,50.2299,51,United Kingdom,,,,,,,,,,,,,,,
-5.2751,6.8075,11,Cote d&apos;Ivoire,,,,,,,,,,,,,,,
-5.0499,7.7202,12,Cote d&apos;Ivoire,,,,,,,,,,,,,,,
-5.0479,50.1505,12,United Kingdom,,,,,,,,,,,,,,,
-5.0326,7.6959,537,Cote d&apos;Ivoire,,,,,,,,,,,,,,,
-4.2758,11.2055,7,Burkina Faso,,,,,,,,,,,,,,,
-4.0164,5.3414,9,Cote d&apos;Ivoire,,,,,,,,,,,,,,,
-3.1449,55.9701,13,United Kingdom,,,,,,,,,,,,,,,
-2.9808,47.5991,7,France,,,,,,,,,,,,,,,
-1.614,54.7149,318,United Kingdom,,,,,,,,,,,,,,,
-1.5826,47.1919,21,France,,,,,,,,,,,,,,,
-1.5761,6.6653,48,Ghana,,,,,,,,,,,,,,,
-1.4807,12.4272,7,Burkina Faso,,,,,,,,,,,,,,,
-1.4796,54.9901,18,United Kingdom,,,,,,,,,,,,,,,
-0.8424,9.4034,142,Ghana,,,,,,,,,,,,,,,
-0.187,5.6037,8,Ghana,,,,,,,,,,,,,,,
-0.848,9.432,23,Ghana,,,,,,,,,,,,,,,
1.2184,6.126,4,Togo,,,,,,,,,,,,,,,
2.173,41.385,96,Spain,,,,,,,,,,,,,,,
2.2228,41.4096,147,Spain,,,,,,,,,,,,,,,
3.2628,6.6156,3,Nigeria,,,,,,,,,,,,,,,
3.8966,7.4419,31,Nigeria,,,,,,,,,,,,,,,
3.947,7.377,18,Nigeria,,,,,,,,,,,,,,,
-4.008,5.36,20,Cote d'Ivoire,,,,,,,,,,,,,,,
4.672,8.4807,7,Nigeria,,,,,,,,,,,,,,,
4.672,8.4808,10,Nigeria,,,,,,,,,,,,,,,
4.6739,8.4804,20,Nigeria,,,,,,,,,,,,,,,
4.7942,52.3985,12,Netherlands,,,,,,,,,,,,,,,
5.1112,52.1084,37,Netherlands,,,,,,,,,,,,,,,
5.21,52.136,16,Netherlands,,,,,,,,,,,,,,,
6.13,49.651,16,Luxembourg,,,,,,,,,,,,,,,
7.4285,46.9722,16,Switzerland,,,,,,,,,,,,,,,
7.447,46.948,13,Switzerland,,,,,,,,,,,,,,,
7.6586,11.1459,140,Nigeria,,,,,,,,,,,,,,,
7.6587,11.1459,224,Nigeria,,,,,,,,,,,,,,,
7.6637,11.1358,277,Nigeria,,,,,,,,,,,,,,,
8.2275,46.8182,575,Switzerland,,,,,,,,,,,,,,,
8.5592,40.7266,2,Italy,,,,,,,,,,,,,,,
8.5596,45.9352,12,Italy,,,,,,,,,,,,,,,
8.5968,45.4218,10,Italy,,,,,,,,,,,,,,,
8.6097,47.4048,2155,Switzerland,,,,,,,,,,,,,,,
8.6918,45.0659,25,Italy,,,,,,,,,,,,,,,
19.818,41.327,10,Albania,,,,,,,,,,,,,,,
9.8648,57.0495,1,Denmark,,,,,,,,,,,,,,,
9.8654,57.05,1,Denmark,,,,,,,,,,,,,,,
10.2425,56.2131,19,Denmark,,,,,,,,,,,,,,,
10.4994,59.7934,14,Norway,,,,,,,,,,,,,,,
10.5428,52.1489,4,Germany,,,,,,,,,,,,,,,
10.752,59.913,9,Norway,,,,,,,,,,,,,,,
11.4845,3.8706,31,Cameroon,,,,,,,,,,,,,,,
11.891,57.6975,12,Sweden,,,,,,,,,,,,,,,
11.974,57.708,3,Sweden,,,,,,,,,,,,,,,
12.4281,41.8193,38,Italy,,,,,,,,,,,,,,,
12.4505,55.6085,37,Denmark,,,,,,,,,,,,,,,
12.5058,55.6405,190,Denmark,,,,,,,,,,,,,,,
12.568,55.676,21,Denmark,,,,,,,,,,,,,,,
12.615,55.695,287,Denmark,,,,,,,,,,,,,,,
13.223,52.5313,11,Germany,,,,,,,,,,,,,,,
